map,mode,n,complete,completion_pct,collision_runs,run_valid_count,resource_valid_count,retry_total,resource_abort_total,time_mean_s,time_sd_s,time_min_s,time_max_s,clearance_mean_m,clearance_min_m,system_available_min_mib,psi_some_avg10_max,psi_full_avg10_max,preflight_wait_mean_s,planner_ingress_mean_mib_s,map_frames_mean_hz,total_ms_mean,end_to_end_cores_mean,end_to_end_core_s_mean,end_to_end_peak_pss_mean_mib,effective_full_open_total
seed10,full,3,3,100.0,0,3,3,0,0,66.823333,3.131363,63.64,69.90,0.274667,0.270,5850.746094,0.18,0.18,5.008277,12.874230,10.244754,31.513025,1.511369,104.423365,3558.156901,
seed10,adaptive,3,3,100.0,0,3,3,0,0,65.430000,1.811325,63.35,66.66,0.256333,0.254,5679.308594,0.00,0.00,5.009225,3.196010,5.273397,22.176773,1.348160,90.397918,3628.965169,48
