metric,full,sector,adaptive,adaptive_vs_full_reduction_pct,adaptive_vs_sector_reduction_pct
mission_time_s,65.366000,64.793667,63.445000,2.939,2.081
logical_planner_ingress_mib_s,9.408594,2.808263,2.269701,75.876,19.178
external_dds_mib_s,0.000000,2.808263,2.272429,NA,19.081
map_frames_s,10.124181,10.272810,5.459349,46.076,46.856
rog_ms_per_frame,36.398212,10.433099,22.352248,38.590,-114.244
end_to_end_cpu_cores_mean,1.526976,1.265794,1.328452,13.001,-4.950
end_to_end_cpu_core_s,102.629896,84.421862,86.852578,15.373,-2.879
end_to_end_peak_pss_mib,3475.309245,3429.101790,3469.811165,0.158,-1.187
clearance_mean_m,0.260333,0.262400,0.248700,4.469,5.221
map_compute_core_equivalent,0.368420,0.107188,0.122086,66.862,-13.900
