_cond,seed,run,mode,world,success,mission_time_s,frames,active_frames,pts_mean,total_ms_mean,total_ms_active_mean,raycast_ms_mean,raycast_ms_active_mean,update_ms_mean,inflation_ms_mean,cache_mean,fsm_cpu_pct,cpp_cpu_pct,collisions,min_clearance_m,corners_reached,timeouts,perf_row_start,perf_row_end,mission_rc,samples
sector_r1,7,1,sector,default_seed7,True,73.25,615,615,2899.4227642276423,3.1935099837398377,3.1935099837398377,0.5365550292682927,0.5365550292682927,2.6551156081300813,1.5745579967479675,2310.991869918699,28.092845645341228,4.549862616844541,4,-0.073,4,0,184,799,-9,33895
sector_r2,7,1,sector,default_seed7,True,197.9,1761,1761,1648.9528676888133,4.137808199886428,4.137808199886428,0.6534596059057354,0.6534596059057354,3.4824262214650767,1.760695415105054,2584.283929585463,101.37656769580305,5.585118695531529,3,-0.196,2,4,201,1962,-9,33864
sector_r3,7,1,sector,default_seed7,False,220.05,1914,1914,1838.7283176593521,3.3781879399164056,3.3781879399164056,0.7076052189132706,0.7076052189132706,2.6685036567398117,1.4529639451410659,2642.962382445141,104.72689394553869,5.682183981411915,4,0.015,2,4,213,2127,-9,33877
adaptive_r1,7,1,adaptive,default_seed7,True,97.95,830,830,8131.557831325301,7.7606201325301205,7.7606201325301205,1.5693826554216868,1.5693826554216868,6.189198771084338,3.2471796807228914,6898.166265060241,38.8247211575984,5.570415438997202,7,-0.247,4,0,199,1029,-9,33881
adaptive_r2,7,1,adaptive,default_seed7,False,220.0,1820,1820,4530.427472527473,6.961227021978021,6.961227021978021,1.340628710989011,1.340628710989011,5.618785285714286,2.9365013686813186,6756.797252747253,108.81266543072293,6.0374121003406085,7,0.009,2,4,220,2040,-9,33669
adaptive_r3,7,1,adaptive,default_seed7,False,220.05,1855,1855,4845.446361185984,6.087767811320754,6.087767811320754,1.663087742857143,1.663087742857143,4.422921849056603,1.978248411859838,6742.637735849056,107.38909001265863,5.9321778332304325,2,0.092,2,4,205,2060,-9,33781
