map,mode,n,complete,completion_pct,static_contact_runs,side_entry_contact_runs,overall_contact_runs,event_valid_count,retry_total,mission_time_mean_s,mission_time_min_s,mission_time_max_s,side_entry_clearance_mean_m,side_entry_clearance_min_m,planner_ingress_mib_s,map_compute_ms_per_frame,algorithm_cores_mean,end_to_end_cores_mean,effective_full_open_total,trajectory_guard_open_total
seed7,full,3,3,100.0,0,0,0,3,0,73.99666666666667,71.51,76.57,0.5463333333333333,0.495,11.456322080419055,44.19358064760855,1.5770812838122568,1.625928305832412,0,0
seed7,sector,3,3,100.0,0,0,0,3,0,76.02333333333334,72.31,81.67,0.6223333333333334,0.451,3.6614848783201377,11.853006717344234,1.0365931796655365,1.2942116149161522,0,0
seed7,adaptive,3,3,100.0,0,0,0,3,0,70.09666666666666,66.49,75.42,0.5513333333333333,0.402,3.142047997965594,25.28407179791454,1.0801039054433812,1.3909684102723052,62,19
seed9,full,3,3,100.0,0,0,0,3,0,92.55333333333333,80.85,110.75,0.46,0.451,12.996491442585656,41.91121427006958,1.5141822084815542,1.563216732407812,0,0
seed9,sector,3,3,100.0,0,0,0,3,0,78.72,76.53,81.12,0.4063333333333333,0.269,4.53958627076705,11.621259136064232,1.0460194906693265,1.301986017627686,0,0
seed9,adaptive,3,3,100.0,0,0,0,3,0,77.01333333333334,72.16,79.79,0.425,0.349,3.6915437191130955,27.927533711522802,1.0784517509367075,1.3954266469018257,56,22
seed10,full,3,3,100.0,0,0,0,3,0,74.05,72.46,77.06,0.45266666666666666,0.412,13.053861803556886,44.707761906464924,1.619997763111795,1.6704523200427839,0,0
seed10,sector,3,3,100.0,0,0,0,3,0,76.55333333333333,68.06,90.72,0.35033333333333333,0.214,4.227344404182716,12.164558460594723,1.0419952991961452,1.3003125228525882,0,0
seed10,adaptive,3,3,100.0,0,0,0,3,0,79.89999999999999,74.24,87.96,0.4053333333333333,0.327,3.652736786831867,26.545445469181008,1.0493891549986984,1.3605158471974057,72,21
