seed,run,mode,world,success,mission_time_s,frames,active_frames,pts_mean,total_ms_mean,total_ms_active_mean,raycast_ms_mean,raycast_ms_active_mean,update_ms_mean,inflation_ms_mean,cache_mean,fsm_cpu_pct,cpp_cpu_pct,collisions,min_clearance_m,corners_reached,timeouts,perf_row_start,perf_row_end,mission_rc,samples
9,1,full,default_seed9,True,146.5,1219,1219,9119.97374897457,5.809002141099262,5.809002141099262,1.7264052649712878,1.7264052649712878,4.080208978671042,1.8511501648892534,7355.822805578343,49.8102505735846,7.038653300537563,1,0.21,4,0,168,1387,-9,35744
9,1,sector,default_seed9,False,240.05,1956,1956,1827.6866053169733,1.6018709948875256,1.6018709948875256,0.4272608297546012,0.4272608297546012,1.1727447663599182,0.5092202346625767,1949.5577709611453,111.36945141553822,6.607981877580877,1,-0.065,2,3,3087,5043,-9,35662
9,1,adaptive,default_seed9,False,0.0,,,,,,,,,,,118.36559888245425,6.491176863029887,0,1.55,0,0,,7041,-9,35626
9,1,full,default_seed9,True,126.65,1077,1077,9038.972144846797,6.070719257195915,6.070719257195915,1.8348677428040854,1.8348677428040854,4.233073332404828,1.8918309814298977,7404.662024141133,46.290945590179284,7.516414241095548,0,0.507,4,0,151,1228,-9,35584
9,1,sector,default_seed9,True,111.8,895,895,3128.4368715083797,2.7636262782122905,2.7636262782122905,0.6320501273743017,0.6320501273743017,2.129260350837989,1.0948459162011173,2467.7441340782125,39.206054294769224,6.316466210455141,0,0.393,4,0,189,1084,-9,35722
9,1,adaptive,default_seed9,True,101.8,798,798,3045.7706766917295,3.0916366390977443,3.0916366390977443,0.6750268333333334,0.6750268333333334,2.4142144072681706,1.2989618972431076,2547.0401002506264,36.68317604293606,6.130213697410837,1,-0.051,4,0,193,991,-9,35687
9,1,adaptive,default_seed9,True,115.2,945,945,3127.9333333333334,2.770654233862434,2.770654233862434,0.615503091005291,0.615503091005291,2.153000219047619,1.1337234634920634,2589.678306878307,77.59001020584348,6.723965290419483,0,0.539,4,0,184,1129,0,13238
