mode,metric,full,candidate,reduction_pct
sector,planner_ingress_mib_s_mean,11.990946,0.928467,92.256933
sector,map_compute_ms_mean,12.906141,5.39424,58.204083
sector,algorithm_cpu_cores_mean,1.227459,0.29188,76.220794
sector,end_to_end_cpu_cores_mean,1.282841,0.556643,56.608574
sector,end_to_end_cpu_core_s_mean,74.361206,50.99733,31.419442
sector,end_to_end_peak_pss_mib_mean,3394.017188,3326.092187,2.001316
adaptive,planner_ingress_mib_s_mean,11.990946,2.910273,75.729413
adaptive,map_compute_ms_mean,12.906141,9.509745,26.316123
adaptive,algorithm_cpu_cores_mean,1.227459,0.898363,26.81116
adaptive,end_to_end_cpu_cores_mean,1.282841,1.202369,6.272952
adaptive,end_to_end_cpu_core_s_mean,74.361206,74.522738,-0.217226
adaptive,end_to_end_peak_pss_mib_mean,3394.017188,3470.947656,-2.266649
