campaign,mode,n_total,n_valid,n_invalid,n_complete,n_success,success_pct,contact_r015_n,contact_r015_pct,contact_r020_n,contact_r020_pct,contact_r025_n,contact_r025_pct,goal_expected_n,goal_expected_pct,clearance_m_n,clearance_m_median,clearance_m_q1,clearance_m_q3,center_distance_m_n,center_distance_m_median,center_distance_m_q1,center_distance_m_q3,goal_messages_n,goal_messages_median,goal_messages_q1,goal_messages_q3,mission_time_s_n,mission_time_s_median,mission_time_s_q1,mission_time_s_q3,path_length_m_n,path_length_m_median,path_length_m_q1,path_length_m_q3,fsm_cpu_pct_n,fsm_cpu_pct_median,fsm_cpu_pct_q1,fsm_cpu_pct_q3,monitor_flight_cpu_pct_n,monitor_flight_cpu_pct_median,monitor_flight_cpu_pct_q1,monitor_flight_cpu_pct_q3,perf_frames_n,perf_frames_median,perf_frames_q1,perf_frames_q3,pts_mean_n,pts_mean_median,pts_mean_q1,pts_mean_q3,total_ms_mean_n,total_ms_mean_median,total_ms_mean_q1,total_ms_mean_q3,raycast_ms_mean_n,raycast_ms_mean_median,raycast_ms_mean_q1,raycast_ms_mean_q3,update_ms_mean_n,update_ms_mean_median,update_ms_mean_q1,update_ms_mean_q3,inflation_ms_mean_n,inflation_ms_mean_median,inflation_ms_mean_q1,inflation_ms_mean_q3
goal_ab,raw_oneway_repeat,10,10,0,10,10,100.0,2,20.0,2,20.0,2,20.0,10,100.0,10,0.180088,0.13475425,0.19055224999999998,10,0.380088,0.33475425,0.39055225,10,37.5,37.0,38.0,10,36.955,36.45,37.394999999999996,10,107.098,105.9625,107.496,10,60.482237577581586,59.10139597109129,63.18570369453801,10,7.8376825,7.743991749999999,8.0783595,10,154.0,137.75,186.25,10,65853.14463141025,65006.56216645242,67159.22554727526,10,12.258946672672574,11.981141986900846,12.653882431680161,10,5.062080439967105,4.97217553205777,5.142531182981021,10,7.192240368817773,6.992536935979,7.7135495125253035,10,3.1238754165564666,3.046082131056191,3.44647471875
goal_ab,raw_oneway_once,10,10,0,10,10,100.0,1,10.0,3,30.0,3,30.0,10,100.0,10,0.163902,0.013755000000000003,0.19075375,10,0.36390199999999995,0.213755,0.39075375,10,1.0,1.0,1.0,10,36.75,36.4525,36.975,10,106.14949999999999,106.07925,106.55225,10,62.49214311069054,61.12880441755128,63.37333535595433,10,7.8969815,7.71369475,8.11197625,10,173.5,149.25,181.25,10,67905.07091653865,65978.85064254119,68668.59492341898,10,12.180022268238904,11.96404859700461,13.080404786331625,10,4.996955229532164,4.89515272936848,5.215634578194976,10,7.260982566448087,6.839754427533888,7.896331805377721,10,3.167258051092896,2.9353045536486144,3.559108130461748
quiet_ab,raw_oneway_once,10,10,0,10,10,100.0,1,10.0,1,10.0,2,20.0,10,100.0,10,0.1207745,0.0943865,0.1548515,10,0.3207745,0.2943865,0.3548515,10,1.0,1.0,1.0,10,36.894999999999996,36.7025,37.76,10,106.7435,106.40350000000001,108.354,10,59.756604297444056,58.48865913709652,63.233001291779196,10,7.6029815,7.370431249999999,7.941042250000001,10,133.5,124.0,180.0,10,67132.24415552706,65623.4325538663,68098.08075114862,10,12.318163917337078,11.843377822191869,13.011081001950947,10,4.9618547905477985,4.712701509732645,5.004093692849233,10,7.435560969224875,7.061342662702876,8.076828566622302,10,3.252968668089385,3.1410916821468744,3.6885493902853828
quiet_ab,raw_oneway_once_quiet,10,10,0,10,10,100.0,1,10.0,1,10.0,2,20.0,10,100.0,10,0.1241395,0.07770725,0.177645,10,0.3241395,0.27770725,0.377645,10,1.0,1.0,1.0,10,36.895,36.59,37.4475,10,106.54849999999999,106.14699999999999,107.942,10,61.944972510936154,60.44968211322569,62.50471030969077,10,7.6878340000000005,7.56371575,7.95887525,10,165.0,151.75,183.25,10,66893.05289776284,65559.17968554639,67845.41536050156,10,12.350938555150996,11.493493944792167,12.871465614051647,10,5.0336627601834465,4.975515417531549,5.080562317646511,10,7.420257274362818,6.534820625814777,7.8023077042434315,10,3.2991841927179264,2.776879409144119,3.501990772217608
