metric,full,sector,adaptive,adaptive_vs_full_reduction_pct,adaptive_vs_sector_reduction_pct
mission_time_s,75.608889,71.958889,71.038889,6.044,1.279
logical_planner_ingress_mib_s,12.809457,4.109824,3.244717,74.669,21.050
external_dds_mib_s,0.000000,4.109824,3.247419,NA,20.984
map_frames_s,10.118704,10.256262,5.650419,44.159,44.908
rog_ms_per_frame,37.150710,11.012846,23.394684,37.028,-112.431
map_compute_core_equivalent,0.375903,0.112951,0.132102,64.857,-16.956
end_to_end_cpu_cores_mean,1.497525,1.261413,1.328310,11.300,-5.303
end_to_end_cpu_core_s,116.540148,93.287804,97.091330,16.689,-4.077
end_to_end_peak_pss_mib,3496.908529,3518.031359,3557.461155,-1.732,-1.121
