map,mode,n,complete,completion_pct,collision_runs,collision_events,run_valid_count,speed_limit_valid_count,resource_valid_count,first_attempt_count,retry_total,resource_abort_total,algorithm_cpu_scope,end_to_end_cpu_scope,mission_time_mean_all_s,mission_time_sd_all_s,mission_time_mean_success_s,mission_time_min_s,mission_time_max_s,clearance_mean_m,clearance_min_m,clearance_below_0p20_count,effective_full_open_total,effective_full_open_mean,system_available_min_mib,system_peak_swap_max_mib,psi_some_avg10_max,psi_full_avg10_max,preflight_wait_mean_s,mission_time_s,map_compute_ms_per_frame,algorithm_cores_mean,algorithm_core_s,algorithm_cores_p95_1s,algorithm_peak_pss_mib,end_to_end_cores_mean,end_to_end_core_s,end_to_end_cores_p95_1s,end_to_end_peak_pss_mib,planner_ingress_mib_s,dds_algorithm_mib_s
seed1,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,59.003,2.7967284458810076,59.003,53.71,63.55,0.2806,0.207,0,0,,5707.515625,1.25,0.0,0.0,5.005836204300067,59.003,30.781195314995674,1.45404814697395,88.2771853,1.6690938217434574,3420.26904296875,1.5046611418987945,91.3497407,1.723220268180076,3466.95390625,5.253013653187275,
seed1,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,59.087,1.5997086540297822,59.087,56.84,61.54,0.2616,0.213,0,0,0.0,5882.83203125,1.25,0.0,0.0,5.0060749118994865,59.087,8.60796000142149,1.03864558079778,62.8496089,1.2147322792755884,3153.3685546875,1.2614442984917105,76.3369404,1.4372897850635304,3342.5822265625,1.414598069294869,1.414598069294869
seed1,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,58.39,1.3894603268895442,58.39,56.22,60.5,0.2564,0.192,1,194,19.4,5828.046875,1.25,0.0,0.0,5.005683272500027,58.39,19.47371356897268,1.0585634933476984,63.3175364,1.24879868653541,3163.099609375,1.3105357770943824,78.3907585,1.5102944342915032,3368.31904296875,1.214338292188014,1.217067801351467
seed2,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,56.69,1.585139320901058,56.69,54.75,59.24,0.3228,0.235,0,0,,4635.50390625,6.5,0.0,0.0,5.0059102492992675,56.69,32.1384282717115,1.4654567061803014,85.641491,1.6979872004571057,3416.283984375,1.516205887032703,88.60892419999999,1.752253325086665,3462.8806640625,5.267285030859934,
seed2,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,54.057,1.5670854050327534,54.057,51.58,56.06,0.2841,0.193,1,0,0.0,5294.66796875,6.5,0.0,0.0,5.005868075499166,54.057,8.891125008877806,1.065394521792035,59.320929,1.21527265822274,3151.4720703125,1.2881199569722637,71.71801529999999,1.4404421023468792,3340.16787109375,1.2918354840231137,1.2918354840231137
seed2,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,54.267,1.0288186321105268,54.267,52.81,55.81,0.2873,0.185,1,169,16.9,5240.71875,6.5,0.0,0.0,15.819983652500378,54.267,18.950776624109828,1.082348492710537,60.2723316,1.24691071323004,3161.91533203125,1.3363695013480423,74.4236195,1.5102220562980244,3368.86318359375,1.1665133044832854,1.1692512464337477
seed3,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,59.769,2.564698162877392,59.769,55.75,65.2,0.29009999999999997,0.228,0,0,,5103.1875,6.5,0.0,0.0,5.0057940774993765,59.769,37.55064992550042,1.5308386780043899,94.12123940000001,1.7565059085646073,3458.82626953125,1.5819514988448136,97.2641171,1.8085145364424977,3505.480859375,7.587077439898792,
seed3,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,58.453,1.8949291983255383,58.453,55.09,61.45,0.27,0.21,0,0,0.0,5245.26953125,6.5,0.0,0.0,5.006102096401446,58.453,10.41945480898685,1.0715393456647755,64.3764605,1.2355201108849783,3156.39140625,1.29415646952231,77.7547908,1.4601061481680018,3361.79970703125,1.958266480923775,1.958266480923775
seed3,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,57.269999999999996,1.8765216048138984,57.269999999999996,54.67,60.73,0.2662,0.215,0,235,23.5,5224.89453125,6.5,0.0,0.0,5.0057650380993435,57.269999999999996,19.07627221388435,1.0702119164984363,62.9287686,1.2586713067643827,3168.753515625,1.3290795330639131,78.1526408,1.5214537359917282,3400.3341796875,1.5510374916929037,1.5537649490541596
seed4,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,63.521,2.691696903854933,63.521,58.91,67.4,0.2473,0.173,1,0,,5053.98828125,6.5,0.0,0.0,5.0062849601999915,63.521,36.259647340122605,1.5009350016385152,98.2586342,1.7122994932119986,3464.18154296875,1.5529529979853802,101.6647033,1.7666510566927025,3510.4025390625,8.243384261730073,
