_variant,seed,run,mode,world,success,mission_time_s,frames,active_frames,pts_mean,total_ms_mean,total_ms_active_mean,raycast_ms_mean,raycast_ms_active_mean,update_ms_mean,inflation_ms_mean,cache_mean,fsm_cpu_pct,cpp_cpu_pct,collisions,min_clearance_m,corners_reached,timeouts,perf_row_start,perf_row_end,mission_rc,samples
sector_fixedcone_r1,7,1,sector,default_seed7,True,113.3,933,933,3075.608788853162,2.013118721329046,2.013118721329046,0.5589898885316185,0.5589898885316185,1.4523767309753484,0.6748825144694534,2470.6120042872453,45.42732490828313,4.949852482900533,2,0.099,4,0,201,1134,-9,33898
sector_fixedcone_r2,7,1,sector,default_seed7,True,113.15,942,942,3044.584925690021,2.080788100849257,2.080788100849257,0.5747636624203821,0.5747636624203821,1.50412999044586,0.724628407643312,2474.04033970276,35.339532759702614,4.802795775426127,2,0.144,4,0,215,1157,-9,33899
sector_fixedcone_r3,7,1,sector,default_seed7,True,114.45,971,971,3074.7188465499485,2.09246786199794,2.09246786199794,0.5658888928939237,0.5658888928939237,1.5246294140061791,0.7362940978372811,2508.8362512873327,35.753978224793435,4.791028560032996,2,0.108,4,0,208,1179,-9,33889
adaptive_fullview_riskgate_r1,7,1,adaptive,default_seed7,True,111.0,920,920,9100.654347826086,4.453209652173913,4.453209652173913,1.5252038510869566,1.5252038510869566,2.9259291326086956,1.1957064086956521,7362.575,36.23947278279816,5.488064482813674,0,0.647,4,0,196,1116,-9,33896
adaptive_fullview_riskgate_r2,7,1,adaptive,default_seed7,True,159.7,1429,1429,9219.72988103569,4.456869146256123,4.456869146256123,1.5042434604618615,1.5042434604618615,2.950583466759972,1.243115422673198,6978.853044086774,49.921521437540015,5.729253731107174,0,0.44,4,1,225,1654,-9,33891
adaptive_fullview_riskgate_r3,7,1,adaptive,default_seed7,True,201.15,1728,1728,8920.538773148148,5.037752673611111,5.037752673611111,1.727950829861111,1.727950829861111,3.307780050347222,1.3721679322916667,7523.41724537037,104.57984762703433,6.726268606325789,8,-0.129,3,2,224,1952,-9,33866
adaptive_velocity_aligned_r1,7,1,adaptive,default_seed7,True,111.5,918,918,3149.401960784314,2.0368190261437906,2.0368190261437906,0.5678569052287582,0.5678569052287582,1.466999874727669,0.6736600795206972,2589.2755991285403,44.896938548928546,5.03796234124943,0,0.634,4,0,186,1104,-9,33893
adaptive_velocity_aligned_r2,7,1,adaptive,default_seed7,True,110.35,920,920,3148.866304347826,2.4415888326086956,2.4415888326086956,0.5722912663043479,0.5722912663043479,1.8674478597826087,0.9691084565217392,2551.833695652174,33.654361602094845,4.8322120643948265,2,0.252,4,0,204,1124,-9,33888
adaptive_velocity_aligned_r3,7,1,adaptive,default_seed7,True,119.05,1013,1013,3131.8499506416583,2.1957050266535045,2.1957050266535045,0.5569774698914116,0.5569774698914116,1.6368180098716683,0.7998541826258638,2545.8647581441264,35.816093096222495,4.8439791276393045,0,0.305,4,0,208,1221,-9,33894
