_cond,seed,run,mode,world,success,mission_time_s,frames,active_frames,pts_mean,total_ms_mean,total_ms_active_mean,raycast_ms_mean,raycast_ms_active_mean,update_ms_mean,inflation_ms_mean,cache_mean,fsm_cpu_pct,cpp_cpu_pct,collisions,min_clearance_m,corners_reached,timeouts,perf_row_start,perf_row_end,mission_rc,samples
sanity_sector,7,1,sector,default_seed7,False,0.0,,,,,,,,,,,13.47575645212401,4.214580626798991,0,2.9,0,0,,1020,-9,33902
sanity_sector,7,1,sector,default_seed7,True,113.3,971,971,3027.294541709578,1.860236279093718,1.860236279093718,0.5448467435633367,0.5448467435633367,1.3135830937178166,0.5890829248197734,2452.0782698249227,34.783753968283136,4.69986625420884,2,0.07,4,0,207,1178,-9,33894
sector_r1,7,1,sector,default_seed7,True,113.3,933,933,3075.608788853162,2.013118721329046,2.013118721329046,0.5589898885316185,0.5589898885316185,1.4523767309753484,0.6748825144694534,2470.6120042872453,45.42732490828313,4.949852482900533,2,0.099,4,0,201,1134,-9,33898
sector_r2,7,1,sector,default_seed7,True,113.15,942,942,3044.584925690021,2.080788100849257,2.080788100849257,0.5747636624203821,0.5747636624203821,1.50412999044586,0.724628407643312,2474.04033970276,35.339532759702614,4.802795775426127,2,0.144,4,0,215,1157,-9,33899
sector_r3,7,1,sector,default_seed7,True,114.45,971,971,3074.7188465499485,2.09246786199794,2.09246786199794,0.5658888928939237,0.5658888928939237,1.5246294140061791,0.7362940978372811,2508.8362512873327,35.753978224793435,4.791028560032996,2,0.108,4,0,208,1179,-9,33889
adaptive_r1,7,1,adaptive,default_seed7,True,111.0,920,920,9100.654347826086,4.453209652173913,4.453209652173913,1.5252038510869566,1.5252038510869566,2.9259291326086956,1.1957064086956521,7362.575,36.23947278279816,5.488064482813674,0,0.647,4,0,196,1116,-9,33896
adaptive_r2,7,1,adaptive,default_seed7,True,159.7,1429,1429,9219.72988103569,4.456869146256123,4.456869146256123,1.5042434604618615,1.5042434604618615,2.950583466759972,1.243115422673198,6978.853044086774,49.921521437540015,5.729253731107174,0,0.44,4,1,225,1654,-9,33891
adaptive_r3,7,1,adaptive,default_seed7,True,201.15,1728,1728,8920.538773148148,5.037752673611111,5.037752673611111,1.727950829861111,1.727950829861111,3.307780050347222,1.3721679322916667,7523.41724537037,104.57984762703433,6.726268606325789,8,-0.129,3,2,224,1952,-9,33866
