map,mode,n,complete,completion_pct,static_contact_runs,side_entry_contact_runs,overall_contact_runs,event_valid_count,retry_total,mission_time_mean_s,mission_time_min_s,mission_time_max_s,side_entry_clearance_mean_m,side_entry_clearance_min_m,planner_ingress_mib_s,map_compute_ms_per_frame,algorithm_cores_mean,end_to_end_cores_mean,effective_full_open_total,trajectory_guard_open_total
seed9,full,1,1,100.0,0,0,0,1,0,68.84,68.84,68.84,0.305,0.305,13.840474229022417,39.697238450502155,1.5715374529225838,1.6197857959907427,0,0
seed9,sector,1,1,100.0,0,0,0,1,0,80.44,80.44,80.44,0.237,0.237,4.4718459730181515,11.65158278113664,1.0189763941922931,1.2756838756474251,0,0
seed9,adaptive,1,1,100.0,0,0,0,1,0,75.47,75.47,75.47,0.199,0.199,3.3546561734856746,28.150684624999997,1.0674478687929914,1.3776998204677835,13,4
