map,metric,full,sector,adaptive,sector_vs_full_reduction_pct,adaptive_vs_full_reduction_pct,adaptive_vs_sector_reduction_pct
seed9,mission_time_s,68.84,80.44,75.47,-16.85066821615339,-9.631028471818704,6.178518150174042
seed9,side_entry_clearance_m,0.305,0.237,0.199,22.295081967213118,34.75409836065573,16.033755274261598
seed9,planner_ingress_mib_s,13.840474229022417,4.4718459730181515,3.3546561734856746,67.69008128608027,75.76198533391856,24.98274328483769
seed9,map_compute_ms_per_frame,39.697238450502155,11.65158278113664,28.150684624999997,70.64888330792881,29.086541724808814,-141.60395333219984
seed9,algorithm_cores_mean,1.5715374529225838,1.0189763941922931,1.0674478687929914,35.160540253284736,32.07620557767417,-4.756879048127495
seed9,end_to_end_cores_mean,1.6197857959907427,1.2756838756474251,1.3776998204677835,21.24366821804654,14.945554907455353,-7.996961219611248
ALL,mission_time_s,68.84,80.44,75.47,-16.85066821615339,-9.631028471818704,6.178518150174042
ALL,side_entry_clearance_m,0.305,0.237,0.199,22.295081967213118,34.75409836065573,16.033755274261598
ALL,planner_ingress_mib_s,13.840474229022417,4.4718459730181515,3.3546561734856746,67.69008128608027,75.76198533391856,24.98274328483769
ALL,map_compute_ms_per_frame,39.697238450502155,11.65158278113664,28.150684624999997,70.64888330792881,29.086541724808814,-141.60395333219984
ALL,algorithm_cores_mean,1.5715374529225838,1.0189763941922931,1.0674478687929914,35.160540253284736,32.07620557767417,-4.756879048127495
ALL,end_to_end_cores_mean,1.6197857959907427,1.2756838756474251,1.3776998204677835,21.24366821804654,14.945554907455353,-7.996961219611248
