_dataset,seed,run,mode,world,success,mission_time_s,frames,active_frames,pts_mean,total_ms_mean,total_ms_active_mean,raycast_ms_mean,raycast_ms_active_mean,update_ms_mean,inflation_ms_mean,cache_mean,fsm_cpu_pct,cpp_cpu_pct,collisions,min_clearance_m,corners_reached,timeouts,perf_row_start,perf_row_end,mission_rc,samples
mr_full,7,1,full,default_seed7,True,161.2,1290,1290,8030.130232558139,6.7111885581395345,6.7111885581395345,1.7214419604651163,1.7214419604651163,4.987251552713178,2.4582230906976745,6788.116279069767,111.26649262593988,7.567384180850888,7,-0.244,3,2,190,1480,-9,33660
mr_full,7,2,full,default_seed7,False,220.05,1780,1780,6033.592696629214,3.5356373146067415,3.5356373146067415,1.5927103449438202,1.5927103449438202,1.9406542943820224,0.6126611494382023,6602.869101123595,117.76942592267169,7.079002590722514,4,-0.14,0,5,2939,4719,-9,33712
mr_full,7,3,full,default_seed7,False,0.0,,,,,,,,,,,83.81445420509347,3.3903093269532087,0,0.617,0,0,,5965,-9,10490
mr_sector,7,1,sector,default_seed7,True,118.55,961,961,3078.882414151925,2.7813857440166494,2.7813857440166494,0.6218025868886576,0.6218025868886576,2.157327352757544,1.1282181040582726,2529.3298647242455,41.54433176033912,6.17627389174695,0,0.465,4,0,185,1146,-9,33786
mr_sector,7,2,sector,default_seed7,True,112.0,885,885,3142.64406779661,1.4803951141242937,1.4803951141242937,0.6015839514124294,0.6015839514124294,0.8766832926553673,0.2956125197740113,2498.9073446327684,40.009686819647875,6.170390081977708,1,0.271,4,0,3006,3891,-9,33805
mr_sector,7,3,sector,default_seed7,True,115.1,928,928,3115.302801724138,1.3777933706896552,1.3777933706896552,0.6021989935344827,0.6021989935344827,0.7734163566810345,0.25332994288793104,2475.049568965517,39.41167648615695,6.196699835022148,0,0.563,4,0,5892,6820,-9,33777
mr_adaptive,7,1,adaptive,default_seed7,True,114.2,965,965,9216.107772020725,5.162730538860104,5.162730538860104,1.7328819098445596,1.7328819098445596,3.4273029585492227,1.4066466259067358,7424.330569948186,43.09710542962267,7.343875727057436,0,0.583,4,0,200,1165,-9,33788
mr_adaptive,7,2,adaptive,default_seed7,True,115.85,976,976,9124.467213114754,3.4259512397540983,3.4259512397540983,1.7340571926229509,1.7340571926229509,1.6895539231557377,0.39559463217213114,7407.314549180328,43.47277233541107,7.38781309883994,0,0.59,4,0,3056,4032,-9,33775
mr_adaptive,7,3,adaptive,default_seed7,True,116.15,950,950,9210.0,3.1507132526315793,3.1507132526315793,1.6967578684210527,1.6967578684210527,1.4516485263157894,0.2867918052631579,7388.521052631579,43.26242508913275,7.343875392334457,0,0.564,4,0,5991,6941,-9,33717
rt_0.6,7,1,adaptive,default_seed7,True,113.05,921,921,9180.760043431053,5.314603984799131,5.314603984799131,1.7270041954397393,1.7270041954397393,3.585234186753529,1.5322639077090119,7410.655808903366,42.02418178658262,7.205655425302558,0,0.408,4,0,190,1111,-9,33772
rt_0.6,7,2,adaptive,default_seed7,True,153.4,1269,1269,9205.617021276596,3.5562014342001578,3.5562014342001578,1.6868298888888889,1.6868298888888889,1.8671152734436565,0.5356724050433412,7322.163120567376,52.89889740978737,7.485031901230727,0,0.367,4,0,2930,4199,-9,33715
rt_0.6,7,3,adaptive,default_seed7,False,220.05,1772,1772,6223.817720090294,6.632133069977426,6.632133069977426,2.015927409142212,2.015927409142212,4.6137082533860045,2.432719332392777,6949.86625282167,110.41874014868617,7.384927497662429,1,0.029,3,2,5755,7527,-9,33760
rt_1.0,7,1,adaptive,default_seed7,True,120.95,976,976,8944.870901639344,6.834078852459016,6.834078852459016,1.6790325983606558,1.6790325983606558,5.15273530737705,2.5509340266393443,7204.0,47.329846296610974,7.258594761496743,2,0.097,4,0,215,1191,-9,33737
rt_1.0,7,2,adaptive,default_seed7,False,220.05,1876,1876,9527.09328358209,4.128411876332623,4.128411876332623,1.81224939445629,1.81224939445629,2.313956037313433,0.7432739195095949,7599.2835820895525,113.54906819868972,8.343834267696852,2,0.046,2,3,3002,4878,-9,33765
rt_1.0,7,3,adaptive,default_seed7,False,220.05,1955,1955,4731.800511508952,4.374076230179028,4.374076230179028,2.2664897237851664,2.2664897237851664,2.1048376726342712,0.4445455652173913,6973.805115089514,117.58909412427533,7.56739020350722,3,-0.195,2,4,6060,8015,-9,33748
