Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00030949, 0.000171299, 0.000137172, 3.4374e-05, 1539, 1141, 1476
0.000338101, 0.000188916, 0.000147295, 3.5925e-05, 1560, 1156, 1353
0.000355148, 0.000195737, 0.000158003, 2.3398e-05, 1552, 1156, 738
0.000198004, 0.000113324, 8.3012e-05, 1.6623e-05, 1532, 1137, 861
0.000201768, 0.000107838, 9.2436e-05, 2.313e-05, 1553, 1157, 1353
0.0002884, 0.000182345, 0.000104306, 1.3473e-05, 1559, 1159, 369
0.000255073, 0.00015359, 0.000100458, 9.621e-06, 1541, 1144, 369
0.000431981, 0.000305555, 0.000125119, 9.577e-06, 1544, 1148, 246
0.000401439, 0.000246477, 0.000153632, 1.662e-05, 1544, 1154, 492
0.000267741, 0.000164002, 0.000102302, 1.3448e-05, 1548, 1150, 492
0.000418671, 0.000259441, 0.000156857, 2.3991e-05, 1542, 1151, 615
0.000226022, 0.000143044, 8.1862e-05, 1.8387e-05, 1560, 1168, 984
0.000192243, 0.000103977, 8.7473e-05, 2.1995e-05, 1564, 1162, 1353
0.000188534, 0.000103401, 8.4295e-05, 1.8909e-05, 1555, 1162, 1230
0.000278581, 0.000147788, 0.000128421, 3.2007e-05, 1564, 1159, 1599
0.000204745, 0.000107075, 9.6875e-05, 2.538e-05, 1546, 1148, 1722
0.00051981, 0.000291949, 0.000226268, 6.0354e-05, 1571, 1169, 2091
0.000341856, 0.000171041, 0.000169732, 4.2887e-05, 1562, 1163, 1599
0.000417341, 0.000229652, 0.000186096, 4.5224e-05, 1547, 1154, 1476
0.000217708, 0.000107901, 0.000108852, 3.7746e-05, 1551, 1147, 2583
0.00029112, 0.000166882, 0.000122892, 2.3217e-05, 1562, 1162, 861
0.00027426, 0.000159902, 0.000113408, 1.9845e-05, 1553, 1142, 861
0.000183656, 0.000105827, 7.6578e-05, 1.6222e-05, 1545, 1138, 861
0.000374465, 0.000269704, 0.000103323, 1.3428e-05, 1552, 1152, 615
0.00030531, 0.000181495, 0.000122306, 2.4224e-05, 1562, 1156, 861
0.000173847, 0.000104202, 6.8541e-05, 4.581e-06, 1568, 1160, 246
0.000301439, 0.000184706, 0.00011541, 1.9844e-05, 1559, 1160, 738
0.000271622, 0.000169544, 0.000100642, 1.1351e-05, 1569, 1168, 492
0.000246118, 0.000152728, 9.1534e-05, 9.931e-06, 1553, 1151, 369
0.000247062, 0.000154499, 9.1615e-05, 6.77e-06, 1536, 1135, 246
0.000174281, 9.4395e-05, 7.9026e-05, 2.1547e-05, 1539, 1139, 1476
0.000180105, 0.000105065, 7.4127e-05, 1.2117e-05, 1543, 1149, 861
0.000180983, 9.604e-05, 8.32e-05, 2.2667e-05, 1539, 1144, 1353
0.000199794, 0.000104536, 9.4456e-05, 3.0968e-05, 1563, 1160, 2214
0.000348762, 0.000200421, 0.000147041, 2.5541e-05, 1552, 1152, 861
0.000392747, 0.000232617, 0.000157728, 3.9968e-05, 1551, 1157, 1722
0.000285014, 0.000128362, 0.000155382, 6.3348e-05, 1538, 1141, 3198
0.000209608, 0.000100981, 0.000107511, 4.2619e-05, 1565, 1167, 3444
0.000414413, 0.000239948, 0.000172513, 3.3773e-05, 1553, 1162, 861
0.000238959, 0.000151749, 8.6307e-05, 1.0202e-05, 1540, 1146, 369
0.000236187, 0.000128824, 0.000106459, 2.3619e-05, 1559, 1165, 984
0.000371884, 0.000217421, 0.000151908, 3.1508e-05, 1550, 1157, 1107
0.00033503, 0.00019718, 0.000136646, 2.5106e-05, 1565, 1162, 984
0.00030984, 0.000152668, 0.000155575, 5.9613e-05, 1554, 1165, 4305
0.000391169, 0.000201469, 0.000188232, 5.3132e-05, 1550, 1158, 2952
0.000252726, 0.000128516, 0.000123201, 4.2912e-05, 1546, 1147, 2091
0.000405503, 0.00020718, 0.000197088, 6.8325e-05, 1562, 1159, 3690
0.00046045, 0.000203057, 0.000255866, 0.000114983, 1557, 1170, 4674
0.000413463, 0.000205184, 0.000206357, 7.438e-05, 1561, 1157, 3690
0.00026506, 0.000126801, 0.000136778, 3.8443e-05, 1554, 1160, 2214
0.000365749, 0.000202977, 0.000161696, 3.8911e-05, 1558, 1160, 1722
0.000342637, 0.000202011, 0.000139488, 2.3396e-05, 1544, 1148, 738
0.000217747, 0.000128264, 8.7967e-05, 1.3093e-05, 1543, 1148, 492
0.000321508, 0.000205346, 0.000114843, 4.752e-06, 1553, 1156, 123
0.000191172, 0.000117535, 7.2703e-05, 3.618e-06, 1547, 1149, 123
0.000222411, 0.000147493, 7.4253e-05, 0, 1566, 1167, 0
0.00025115, 0.000164534, 8.5481e-05, 3.574e-06, 1563, 1168, 123
0.000310728, 0.000196959, 0.000112525, 9.276e-06, 1559, 1153, 246
0.00032581, 0.000198918, 0.000125598, 1.6672e-05, 1553, 1156, 492
0.000233866, 0.000147362, 8.5543e-05, 8.651e-06, 1543, 1153, 369
0.000220984, 0.000149254, 7.0366e-05, 0, 1575, 1164, 0
0.000300141, 0.000199352, 9.909e-05, 0, 1562, 1166, 0
0.000321526, 0.000214308, 0.000105456, 0, 1563, 1168, 0
0.000222156, 0.000143928, 7.6985e-05, 3.518e-06, 1546, 1152, 123
0.000204595, 0.000131552, 7.1409e-05, 3.721e-06, 1548, 1154, 123
0.000152757, 9.6628e-05, 5.5275e-05, 2.525e-06, 1548, 1155, 123
0.000211334, 0.000130868, 7.957e-05, 3.028e-06, 1552, 1155, 123
0.000217868, 0.000136973, 8.0331e-05, 3.363e-06, 1546, 1146, 123
0.000325724, 0.000197362, 0.000126957, 1.9687e-05, 1557, 1161, 738
0.000226173, 0.000128861, 9.6534e-05, 1.529e-05, 1563, 1170, 615
0.000234607, 0.000124717, 0.000108967, 2.4572e-05, 1545, 1153, 1353
0.000234182, 0.000125567, 0.000107905, 2.1987e-05, 1543, 1145, 1353
0.00025864, 0.000130076, 0.000127702, 3.5032e-05, 1569, 1154, 1722
0.000392269, 0.000211929, 0.000179032, 4.8796e-05, 1545, 1156, 1968
0.000214089, 0.00012018, 9.2617e-05, 2.1281e-05, 1549, 1154, 1230
0.000254089, 0.00014136, 0.000111738, 1.9901e-05, 1567, 1172, 738
0.000170476, 9.3022e-05, 7.6307e-05, 1.4831e-05, 1559, 1157, 1107
0.000369722, 0.000210079, 0.000158201, 2.9749e-05, 1561, 1167, 738
0.000260937, 0.000130018, 0.000129971, 2.6023e-05, 1559, 1160, 984
0.000352868, 0.000201526, 0.000149697, 2.2125e-05, 1550, 1147, 615
0.000152721, 9.2037e-05, 6.006e-05, 2.416e-06, 1544, 1155, 123
0.000234074, 0.000133446, 9.9384e-05, 1.1393e-05, 1548, 1146, 492
0.000337845, 0.000199912, 0.000137024, 2.3136e-05, 1562, 1171, 615
0.000260937, 0.000161535, 9.843e-05, 1.7305e-05, 1553, 1157, 492
0.000227014, 0.000149636, 7.6405e-05, 0, 1571, 1168, 0
0.000288287, 0.000187229, 9.9606e-05, 7.048e-06, 1560, 1162, 246
0.000227475, 0.000140663, 8.5244e-05, 3.894e-06, 1549, 1152, 123
0.000254615, 0.000163354, 9.0299e-05, 7.475e-06, 1544, 1157, 246
0.000246882, 0.000160546, 8.5189e-05, 6.146e-06, 1548, 1149, 246
0.000140789, 9.0738e-05, 4.835e-05, 0, 1552, 1159, 0
0.00020735, 0.000129862, 7.6262e-05, 0, 1541, 1146, 0
0.000352991, 0.000211228, 0.000139481, 1.9233e-05, 1567, 1178, 615
0.000327252, 0.000199672, 0.000126351, 1.8268e-05, 1540, 1141, 492
0.000330771, 0.000201342, 0.000128131, 1.2924e-05, 1534, 1141, 369
0.000205932, 0.000126318, 7.8371e-05, 7.002e-06, 1555, 1154, 246
0.000309452, 0.000200019, 0.000108022, 5.506e-06, 1574, 1171, 123
0.000160827, 9.725e-05, 6.2499e-05, 5.621e-06, 1548, 1152, 246
0.000210412, 0.000141197, 6.8504e-05, 2.865e-06, 1549, 1148, 123
0.000257486, 0.000161588, 9.5078e-05, 8.144e-06, 1559, 1163, 246
0.000311916, 0.000202786, 0.000107217, 0, 1549, 1153, 0
0.000336615, 0.000204111, 0.000130879, 1.3741e-05, 1560, 1158, 369
0.000352639, 0.00022841, 0.000123112, 1.0834e-05, 1546, 1142, 246
0.000323671, 0.000203467, 0.000118537, 9.452e-06, 1546, 1151, 246
0.0002379, 0.000155051, 8.1521e-05, 3.573e-06, 1542, 1146, 123
0.000352956, 0.000218481, 0.000133334, 1.8793e-05, 1555, 1151, 492
0.000241414, 0.000152427, 8.8209e-05, 6.601e-06, 1547, 1161, 246
0.000323076, 0.000211094, 0.000111181, 4.579e-06, 1565, 1164, 123
0.000222405, 0.00013617, 8.5137e-05, 6.621e-06, 1557, 1165, 246
0.000317834, 0.000214707, 0.000101438, 0, 1553, 1157, 0
0.000194597, 0.000126971, 6.6358e-05, 0, 1544, 1150, 0
0.000215985, 0.000138202, 7.7056e-05, 0, 1563, 1168, 0
0.000301153, 0.000194657, 0.000105455, 4.436e-06, 1555, 1153, 123
0.000161487, 0.000104959, 5.5604e-05, 5.411e-06, 1557, 1162, 246
0.000222837, 0.000141777, 7.9797e-05, 3.596e-06, 1543, 1144, 123
0.000197298, 0.000124198, 7.2246e-05, 3.868e-06, 1551, 1152, 123
0.000203885, 0.000128574, 7.4108e-05, 3.239e-06, 1534, 1144, 123
0.000218655, 0.000132951, 8.4551e-05, 7.55e-06, 1544, 1148, 246
0.000358743, 0.000219162, 0.000138093, 2.3697e-05, 1561, 1156, 861
0.000240638, 0.000143807, 9.5441e-05, 1.7343e-05, 1557, 1153, 861
0.000342347, 0.000203, 0.000138567, 1.9834e-05, 1559, 1158, 615
0.000231975, 0.000133869, 9.7024e-05, 1.5493e-05, 1539, 1145, 615
0.000156748, 9.3166e-05, 6.2692e-05, 5.277e-06, 1574, 1177, 369
0.000378452, 0.000231614, 0.000143345, 2.4035e-05, 1566, 1150, 738
0.000242669, 0.00013168, 0.000109594, 2.4059e-05, 1565, 1161, 984
0.000221833, 0.000125598, 9.519e-05, 1.5012e-05, 1550, 1140, 615
0.000231019, 0.000136006, 9.3987e-05, 1.5283e-05, 1547, 1151, 615
0.00015755, 9.5258e-05, 6.1721e-05, 4.572e-06, 1564, 1163, 246
0.000173644, 0.000108948, 6.3765e-05, 5.321e-06, 1564, 1156, 246
0.000417159, 0.000259405, 0.000155055, 1.4787e-05, 1544, 1139, 369
0.000362296, 0.000214745, 0.000145446, 8.443e-06, 1558, 1159, 246
0.000298597, 0.000192793, 0.00010404, 4.602e-06, 1544, 1144, 123
0.000194425, 0.000123182, 6.9669e-05, 0, 1532, 1125, 0
0.000209031, 0.000126309, 8.1514e-05, 6.421e-06, 1550, 1151, 246
0.000204849, 0.000125121, 7.8743e-05, 5.633e-06, 1545, 1146, 246
0.000260618, 0.000164765, 9.3832e-05, 6.88e-06, 1560, 1157, 246
0.000224241, 0.000131193, 9.2344e-05, 1.502e-05, 1559, 1154, 615
0.000353338, 0.00023247, 0.000119514, 4.667e-06, 1544, 1146, 123
0.000277914, 0.000169236, 0.000107379, 1.2578e-05, 1556, 1159, 369
0.00022894, 0.000144102, 8.3921e-05, 6.234e-06, 1571, 1171, 246
0.00021228, 0.000126539, 8.4554e-05, 9.915e-06, 1545, 1148, 369
0.000501763, 0.00032809, 0.000171111, 0, 1540, 1141, 0
0.00023265, 0.000150335, 8.155e-05, 3.468e-06, 1565, 1156, 123
0.000406525, 0.000253922, 0.000150261, 1.6142e-05, 1562, 1167, 246
0.000236617, 0.000155875, 7.9245e-05, 3.893e-06, 1555, 1149, 123
0.000322902, 0.000200449, 0.000120691, 1.3099e-05, 1545, 1144, 369
0.000233628, 0.000150609, 8.1923e-05, 7.032e-06, 1537, 1140, 369
0.000235381, 0.000150017, 8.4155e-05, 5.265e-06, 1555, 1164, 246
0.000187864, 0.000122019, 6.4952e-05, 1.3427e-05, 1567, 1170, 861
0.000172611, 0.000104178, 6.7405e-05, 8.065e-06, 1551, 1159, 369
0.000341889, 0.000213799, 0.000126373, 1.1274e-05, 1554, 1160, 369
0.000327813, 0.000200262, 0.00012628, 1.5467e-05, 1538, 1139, 615
0.000340759, 0.000212218, 0.000126349, 1.3654e-05, 1556, 1157, 369
0.000366081, 0.000225881, 0.000138388, 1.512e-05, 1557, 1162, 492
0.000249549, 0.000147725, 0.000100846, 1.5424e-05, 1563, 1163, 738
0.000430265, 0.000213394, 0.000214217, 1.1787e-05, 1553, 1154, 369
0.000239486, 0.000131331, 0.000107244, 1.5651e-05, 1550, 1156, 492
0.0002199, 0.000122055, 9.6949e-05, 1.9776e-05, 1561, 1159, 738
0.000454937, 0.000272077, 0.000181219, 2.0778e-05, 1544, 1148, 492
0.000426634, 0.000284499, 0.000139896, 9.7e-06, 1555, 1159, 246
0.000225709, 0.000126099, 9.8119e-05, 2.1539e-05, 1546, 1149, 861
0.000244584, 0.000147993, 9.5535e-05, 1.2728e-05, 1570, 1162, 861
0.000175574, 9.1065e-05, 8.3403e-05, 2.2983e-05, 1550, 1146, 1722
0.00029775, 0.000177648, 0.000118829, 2.6538e-05, 1560, 1171, 1107
0.000338308, 0.000135905, 0.000201305, 5.6385e-05, 1553, 1153, 4182
0.000235106, 0.000106363, 0.000127548, 3.687e-05, 1562, 1159, 2706
0.000263387, 0.000133303, 0.000128823, 2.6863e-05, 1550, 1158, 1353
0.000176066, 9.7879e-05, 7.7131e-05, 1.1976e-05, 1563, 1157, 861
0.000250105, 0.000137934, 0.000111044, 1.1416e-05, 1554, 1161, 492
0.000393695, 0.000221141, 0.000170574, 1.0997e-05, 1565, 1160, 246
0.000280812, 0.000174219, 0.000105649, 7.819e-06, 1546, 1149, 246
0.00032287, 0.00019576, 0.000126069, 1.4035e-05, 1561, 1171, 492
0.000412254, 0.000210698, 0.000200031, 7.945e-06, 1564, 1171, 246
0.000463869, 0.000247117, 0.000214813, 6.1107e-05, 1553, 1161, 492
0.000321942, 0.00020441, 0.00011651, 1.1395e-05, 1550, 1145, 369
0.00025881, 0.000156536, 9.939e-05, 3.667e-06, 1566, 1160, 123
0.000325791, 0.000200205, 0.000124059, 4.818e-06, 1552, 1153, 123
0.000326478, 0.000216438, 0.000108372, 4.745e-06, 1544, 1152, 123
0.000197421, 0.000125449, 7.0866e-05, 3.24e-06, 1550, 1146, 123
0.000391486, 0.000266873, 0.000123257, 7.744e-06, 1565, 1162, 246
0.000235501, 0.000128962, 0.000105651, 0, 1568, 1166, 0
0.000207167, 0.000138201, 6.7403e-05, 0, 1534, 1135, 0
0.000310932, 0.000195193, 0.000114142, 7.408e-06, 1553, 1154, 246
0.000357742, 0.000228097, 0.000127363, 0, 1549, 1153, 0
0.00036935, 0.000230941, 0.000136326, 1.0739e-05, 1538, 1143, 246
0.000306996, 0.000200187, 0.000105042, 4.967e-06, 1551, 1156, 123
0.000216459, 0.00013186, 8.3719e-05, 1.0061e-05, 1560, 1161, 369
0.000316873, 0.000202549, 0.00011288, 1.1084e-05, 1539, 1138, 369
0.000240144, 0.000158094, 8.0416e-05, 7.114e-06, 1535, 1141, 246
0.000319112, 0.000202268, 0.00011533, 1.1768e-05, 1574, 1170, 369
0.000229745, 0.000129065, 9.9537e-05, 1.0524e-05, 1552, 1158, 369
0.000348166, 0.000206537, 0.000140273, 2.1714e-05, 1541, 1148, 738
0.000245263, 0.000129665, 0.000114552, 2.8088e-05, 1560, 1155, 1476
0.000315119, 0.000126715, 0.000186998, 8.6999e-05, 1550, 1149, 5412
0.000185458, 8.6463e-05, 9.8213e-05, 3.5675e-05, 1547, 1151, 2952
0.000265155, 0.00012784, 0.000136075, 3.7855e-05, 1549, 1151, 1476
0.00035783, 0.000194621, 0.000161756, 3.0975e-05, 1554, 1155, 1107
