seed,run,variant,success,waypoints_reached,collisions,min_clearance_m,mission_time_s,path_length_m,max_speed_mps
seed6,5,obsskipnum1_v10_full,True,5,5,0.016,27.31,218.393,10.0
seed7,1,obsskipnum1_v10_full,True,5,10,0.008,27.67,218.685,10.0
seed7,2,obsskipnum1_v10_full,True,5,25,0.002,29.41,222.639,9.996
seed7,3,obsskipnum1_v10_full,True,5,10,0.004,29.36,219.055,10.0
seed7,4,obsskipnum1_v10_full,True,5,7,0.01,28.92,218.31,10.0
seed7,5,obsskipnum1_v10_full,True,5,3,0.078,26.97,213.569,9.999
seed8,1,obsskipnum1_v10_full,True,5,1,0.035,26.59,213.365,10.0
seed8,2,obsskipnum1_v10_full,True,5,14,0.005,27.44,223.13,10.001
seed8,3,obsskipnum1_v10_full,True,5,1,0.086,26.6,214.417,9.999
seed8,4,obsskipnum1_v10_full,True,5,12,0.009,28.07,224.768,10.0
seed8,5,obsskipnum1_v10_full,False,2,8,0.005,85.0,121.774,10.0
seed9,1,obsskipnum1_v10_full,True,5,15,0.01,30.43,216.394,9.997
seed9,2,obsskipnum1_v10_full,True,5,14,0.007,31.9,220.517,9.999
seed9,3,obsskipnum1_v10_full,True,5,20,0.008,31.37,223.182,10.0
seed9,4,obsskipnum1_v10_full,True,5,14,0.012,31.21,218.926,9.999
seed9,5,obsskipnum1_v10_full,True,5,6,0.007,32.82,220.161,10.0
seed10,1,obsskipnum1_v10_full,True,5,11,0.01,32.15,222.356,9.999
seed10,2,obsskipnum1_v10_full,True,5,12,0.004,28.4,219.531,10.0
seed10,3,obsskipnum1_v10_full,True,5,4,0.002,32.43,220.307,9.998
seed10,4,obsskipnum1_v10_full,True,5,10,0.012,32.59,220.204,10.0
seed10,5,obsskipnum1_v10_full,False,1,5,0.001,85.0,70.527,9.993
