seed,run,variant,success,waypoints_reached,collisions,min_clearance_m,mission_time_s,path_length_m,max_speed_mps
seed3,2,robotr028_only_v10_full,True,5,0,0.347,43.37,213.298,9.919
seed3,3,robotr028_only_v10_full,True,5,1,0.159,43.5,215.702,9.947
seed3,4,robotr028_only_v10_full,False,3,0,0.245,85.0,146.993,9.96
seed3,5,robotr028_only_v10_full,True,5,0,0.38,43.99,215.811,9.986
seed4,1,robotr028_only_v10_full,True,5,0,0.357,44.45,217.37,9.932
seed4,2,robotr028_only_v10_full,True,5,3,0.124,45.44,217.236,9.991
seed4,3,robotr028_only_v10_full,True,5,0,0.224,47.43,217.221,9.875
seed4,4,robotr028_only_v10_full,True,5,0,0.384,44.01,216.672,9.994
seed4,5,robotr028_only_v10_full,True,5,1,0.055,44.79,217.539,10.0
seed5,1,robotr028_only_v10_full,True,5,3,0.007,42.29,214.879,9.945
seed5,2,robotr028_only_v10_full,False,3,4,0.01,85.0,157.029,9.999
seed5,3,robotr028_only_v10_full,True,5,0,0.253,43.22,214.817,9.923
seed5,4,robotr028_only_v10_full,True,5,3,0.017,46.54,216.095,9.935
seed5,5,robotr028_only_v10_full,False,0,1,0.019,85.01,12.98,9.162
seed6,1,robotr028_only_v10_full,True,5,0,0.232,43.61,214.821,9.977
seed6,2,robotr028_only_v10_full,True,5,1,0.018,45.02,216.252,9.979
seed6,3,robotr028_only_v10_full,True,5,4,0.035,43.28,217.727,9.582
seed6,4,robotr028_only_v10_full,True,5,2,0.079,45.9,218.532,9.915
seed6,5,robotr028_only_v10_full,True,5,1,0.012,42.52,218.286,9.897
seed7,1,robotr028_only_v10_full,True,5,7,0.012,43.87,212.063,10.0
seed7,2,robotr028_only_v10_full,True,5,6,0.001,47.5,221.207,9.963
seed7,3,robotr028_only_v10_full,True,5,6,0.008,48.43,219.406,9.818
seed7,4,robotr028_only_v10_full,False,3,3,0.014,85.0,139.843,9.714
seed7,5,robotr028_only_v10_full,True,5,4,0.003,41.56,208.664,9.903
seed8,1,robotr028_only_v10_full,True,5,1,0.09,46.94,222.626,9.996
seed8,2,robotr028_only_v10_full,True,5,0,0.344,45.7,215.535,9.937
seed8,3,robotr028_only_v10_full,False,2,2,0.016,85.01,89.346,9.988
seed8,4,robotr028_only_v10_full,True,5,2,0.01,44.05,213.682,9.928
seed8,5,robotr028_only_v10_full,False,2,0,0.352,85.0,88.397,9.644
seed9,1,robotr028_only_v10_full,False,3,7,0.006,85.01,140.52,9.987
seed9,2,robotr028_only_v10_full,False,3,10,0.002,85.0,180.244,9.75
seed9,3,robotr028_only_v10_full,False,3,8,0.002,85.0,142.653,9.857
seed9,4,robotr028_only_v10_full,True,5,11,0.009,47.17,218.474,9.973
seed9,5,robotr028_only_v10_full,True,5,8,0.006,48.04,220.533,9.995
seed10,1,robotr028_only_v10_full,True,5,0,0.266,47.9,220.549,9.995
seed10,2,robotr028_only_v10_full,False,2,6,0.003,85.01,113.79,9.943
seed10,3,robotr028_only_v10_full,True,5,9,0.011,43.22,215.385,9.944
seed10,4,robotr028_only_v10_full,False,3,3,0.003,85.0,158.122,9.984
seed10,5,robotr028_only_v10_full,False,0,2,0.011,85.01,4.945,8.282
seed1,1,omg4_thr23_only_v10_full,True,5,0,0.4,26.28,217.381,10.0
seed1,2,omg4_thr23_only_v10_full,True,5,0,0.297,27.39,218.147,9.999
seed1,3,omg4_thr23_only_v10_full,True,5,1,0.105,27.53,216.731,10.0
seed1,4,omg4_thr23_only_v10_full,True,5,0,0.339,26.4,213.729,10.0
seed1,5,omg4_thr23_only_v10_full,True,5,0,0.307,26.26,211.815,9.997
seed2,1,omg4_thr23_only_v10_full,True,5,0,0.382,25.81,217.265,9.999
seed2,2,omg4_thr23_only_v10_full,True,5,0,0.421,25.75,215.157,10.0
seed2,3,omg4_thr23_only_v10_full,True,5,0,0.277,24.94,216.387,10.002
seed2,4,omg4_thr23_only_v10_full,True,5,0,0.442,24.43,213.429,9.998
seed2,5,omg4_thr23_only_v10_full,True,5,0,0.453,25.54,221.76,9.999
seed3,1,omg4_thr23_only_v10_full,True,5,1,0.017,25.14,214.175,10.0
seed3,2,omg4_thr23_only_v10_full,True,5,2,0.012,27.46,218.788,9.999
seed3,3,omg4_thr23_only_v10_full,True,5,0,0.268,25.69,214.638,10.0
seed3,4,omg4_thr23_only_v10_full,True,5,3,0.024,26.68,217.884,9.998
seed3,5,omg4_thr23_only_v10_full,True,5,0,0.23,24.8,212.567,10.0
seed4,1,omg4_thr23_only_v10_full,True,5,1,0.18,26.93,217.874,10.0
seed4,2,omg4_thr23_only_v10_full,True,5,0,0.35,26.84,213.502,9.998
seed4,3,omg4_thr23_only_v10_full,True,5,2,0.022,27.47,218.433,9.999
seed4,4,omg4_thr23_only_v10_full,True,5,0,0.252,26.82,215.958,10.0
