map,mode,n,complete,completion_pct,collision_runs,collision_events,run_valid_count,resource_valid_count,first_attempt_count,retry_total,resource_abort_total,mission_time_mean_all_s,mission_time_sd_all_s,mission_time_mean_success_s,mission_time_min_s,mission_time_max_s,clearance_mean_m,clearance_min_m,effective_full_open_total,effective_full_open_mean,system_available_min_mib,system_peak_swap_max_mib,psi_some_avg10_max,psi_full_avg10_max,preflight_wait_mean_s,mission_time_s,map_compute_ms_per_frame,algorithm_cores_mean,algorithm_core_s,algorithm_cores_p95_1s,algorithm_peak_pss_mib,end_to_end_cores_mean,end_to_end_core_s,end_to_end_cores_p95_1s,end_to_end_peak_pss_mib,planner_ingress_mib_s,dds_algorithm_mib_s
seed10,full,10,10,100.0,0,0.0,10,10,10,0,0,77.252,8.03834532447789,77.252,66.4,95.37,0.249,0.211,0,,5668.6640625,1.25,0.0,0.0,5.0061796859001335,77.252,37.593251768718055,1.4780604194138591,116.7041079,1.7496801920631675,3476.9419921875,1.5300428312248264,120.8148563,1.8049163790000438,3523.79248046875,12.95240846240905,
seed10,sector,10,10,100.0,0,0.0,10,10,10,0,0,73.123,4.009971044506155,73.123,66.75,79.43,0.23750000000000002,0.163,0,0.0,5600.5078125,1.25,0.0,0.0,5.00630195800004,73.123,10.769166513636897,1.021625926929031,76.5739109,1.251716170924917,3188.70078125,1.2631849120579497,94.6904717,1.4952544382627386,3564.1716796875,4.177425803731388,4.177425803731388
seed10,adaptive,10,10,100.0,0,0.0,10,10,10,0,0,73.908,5.8224904942434685,73.908,63.49,82.12,0.2548,0.201,186,18.6,5560.7734375,1.25,0.0,0.0,5.006562480100911,73.908,24.408278871811962,1.0265345727118842,77.68781729999999,1.296357001067353,3202.89853515625,1.3207099432366673,99.9951492,1.5905700837476453,3596.72275390625,3.416338515245577,3.4190335686770226
all,full,10,10,100.0,0,0.0,10,10,10,0,0,77.252,8.03834532447789,77.252,66.4,95.37,0.249,0.211,0,,5668.6640625,1.25,0.0,0.0,5.0061796859001335,77.252,37.593251768718055,1.4780604194138591,116.7041079,1.7496801920631675,3476.9419921875,1.5300428312248264,120.8148563,1.8049163790000438,3523.79248046875,12.95240846240905,
all,sector,10,10,100.0,0,0.0,10,10,10,0,0,73.123,4.009971044506155,73.123,66.75,79.43,0.23750000000000002,0.163,0,0.0,5600.5078125,1.25,0.0,0.0,5.00630195800004,73.123,10.769166513636897,1.021625926929031,76.5739109,1.251716170924917,3188.70078125,1.2631849120579497,94.6904717,1.4952544382627386,3564.1716796875,4.177425803731388,4.177425803731388
all,adaptive,10,10,100.0,0,0.0,10,10,10,0,0,73.908,5.8224904942434685,73.908,63.49,82.12,0.2548,0.201,186,18.6,5560.7734375,1.25,0.0,0.0,5.006562480100911,73.908,24.408278871811962,1.0265345727118842,77.68781729999999,1.296357001067353,3202.89853515625,1.3207099432366673,99.9951492,1.5905700837476453,3596.72275390625,3.416338515245577,3.4190335686770226
