map,hazard_radius_m,full_completed,sector_completed,adaptive_completed,full_contact,sector_contact,adaptive_contact,full_time_s,sector_time_s,adaptive_time_s,full_hazard_clearance_m,sector_hazard_clearance_m,adaptive_hazard_clearance_m,adaptive_frontend_risk_brakes,adaptive_full_open_transitions
abt2_cal_t1,1.2,True,False,True,0,0,0,18.73,90.0,25.1,1.031,1.149,0.456,0,12
abt2_cal_t2,1.2,False,False,False,0,0,0,90.01,90.01,90.0,0.281,0.976,0.284,0,43
abt2_cal_t3,1.2,False,False,True,0,0,0,90.01,90.01,73.69,2.056,1.013,0.232,0,10
abt2_cal_t4,1.2,True,False,True,0,0,0,38.53,90.0,19.05,1.003,2.102,0.281,0,3
abt2_cal_t5,1.2,True,False,False,0,0,0,38.78,90.0,90.01,0.27,0.232,0.253,0,56
