map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,perf_row_start,perf_row_end
seed1,1,full,True,29.67,5,5,0,0.342,2952,12811.881944444445,2.768966572916667,1.1650731562499999,1.6019216909722223,0.7179628437500001,,0,288
seed1,1,sector,True,28.21,5,5,0,0.538,2810,4019.5270758122742,1.1952068555956679,0.3752997761732852,0.8182905054151625,0.44496998194945847,32,0,277
seed1,1,adaptive,True,28.63,5,5,0,0.536,2848,3838.3896551724138,1.184009724137931,0.3585976827586207,0.8238067344827587,0.45188449310344825,31,0,290
seed1,2,full,True,29.18,5,5,0,0.604,2893,12329.636678200692,2.682155847750865,1.1129926574394464,1.567341179930796,0.7002199792387543,,0,289
seed1,2,sector,True,27.05,5,5,0,0.642,2691,4124.287822878229,1.2027706568265684,0.3805961992619926,0.8204979114391144,0.4475301402214022,32,0,271
seed1,2,adaptive,True,27.17,5,5,0,0.497,2699,4068.3101045296166,1.2178549512195123,0.3784067804878049,0.837993724738676,0.4594959372822299,32,0,287
seed1,3,full,True,28.06,5,5,0,0.435,2781,12185.345195729536,2.6431229893238433,1.1021646263345195,1.5392005124555161,0.6808309430604982,,0,281
seed1,3,sector,True,28.97,5,5,0,0.615,2866,3947.7466666666664,1.1431832366666665,0.35812644,0.7835452133333334,0.4214170966666667,32,0,300
seed1,3,adaptive,True,27.58,5,5,0,0.592,2746,3961.1971326164876,1.1912258458781362,0.3511346917562724,0.8385700716845879,0.4593798709677419,32,0,279
seed1,4,full,True,28.09,5,5,0,0.532,2789,12347.48717948718,2.704713443223443,1.1214822857142859,1.581398490842491,0.7024118058608059,,0,273
seed1,4,sector,True,27.8,5,5,0,0.53,2762,3896.0276816609,1.1768626747404844,0.36421353633217995,0.8111189653979239,0.44279887889273356,32,0,289
seed1,4,adaptive,True,26.81,5,5,0,0.614,2650,4031.185328185328,1.191148162162162,0.355080861003861,0.8344640154440155,0.46451078764478765,32,0,259
seed1,5,full,True,27.48,5,5,0,0.579,2732,12181.194852941177,2.7346804779411764,1.1197856470588234,1.6130004411764707,0.7220744117647059,,0,272
seed1,5,sector,True,28.19,5,5,0,0.563,2806,3997.319298245614,1.187734354385965,0.36696666666666666,0.8191325438596492,0.44616962807017546,33,0,285
seed1,5,adaptive,True,29.26,5,5,0,0.55,2908,3791.6279863481227,1.1820044778156997,0.3600202218430034,0.8203094266211605,0.4493347201365188,30,0,293
seed2,1,full,True,28.72,5,5,0,0.45,2868,12704.859778597785,2.6913442066420665,1.1124253173431735,1.5770154243542436,0.6999705830258303,,0,271
seed2,1,sector,True,28.58,5,5,0,0.583,2845,4051.3737024221455,1.164186176470588,0.3656548027681661,0.7968305224913494,0.4288222006920415,32,0,289
seed2,1,adaptive,True,29.23,5,5,0,0.527,2914,3882.5066225165565,1.1905560198675496,0.3630321059602649,0.8260001225165563,0.4508511092715232,32,0,302
seed2,2,full,True,28.23,5,5,0,0.547,2819,12395.41568627451,2.7838089137254904,1.130216294117647,1.6517841960784314,0.7503815764705882,,0,255
seed2,2,sector,True,28.2,5,5,0,0.531,2816,3873.7349823321556,1.181668858657244,0.36978129328621906,0.8102296996466432,0.44095513780918727,32,0,283
seed2,2,adaptive,True,29.4,5,5,0,0.58,2935,3800.653333333333,1.18638848,0.37185201333333334,0.8131016799999999,0.44444258999999997,32,0,300
seed2,3,full,True,27.93,5,5,0,0.509,2783,12603.238970588236,2.749186727941176,1.148882900735294,1.5984681213235294,0.7113566360294118,,0,272
seed2,3,sector,True,27.98,5,5,0,0.612,2792,3780.822463768116,1.184913126811594,0.36186162681159423,0.8214088478260869,0.45197326449275366,31,0,276
