map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,clearance_samples,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,matched_prefix,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end
seed12,1,sector,False,90.0,1,2,2,0.042,8999,8438,2,0.042,-0.158,22.724,23.1581,23.5624,23.817,84.381,2.3843,1785472585.198278,1785472585.293564,0.095286,80.284,-8.791,49.149,-29.048,1.0664,79.966,-4.415,13.559,22.724,23.1581,0.0,0.0,False,280.5625,0.02793152850877193,0.01701647697368421,0.00962660197368421,0.0024658749999999998,6,105.87200749931834,8.547695737998303,4,916
seed12,1,adaptive,True,34.36,2,2,1,0.026,3435,2151,1,0.026,-0.174,22.7986,22.8651,23.6869,23.5229,81.434,2.3301,1785472685.26549,1785472685.266261,0.000771,81.885,-4.768,81.885,-4.768,1.1053,81.63,0.196,13.072,22.7986,22.8651,0.0,0.0,False,273.07670454545456,0.054544875,0.02048024715909091,0.03263838068181818,0.015757755681818184,24,98.52179246010417,8.438007403261864,0,352
