seed,run,elapsed_s,x,y,z,distance_m,speed_mps,nearest_x,nearest_y,nearest_obstacle_x,nearest_obstacle_y,nearest_obstacle_r,nearest_obstacle_surf_dist_m,second_nearest_obstacle_surf_dist_m
seed8,1,53.9073,-6.4,-21.167,2.411,0.18358,2.99087,-6.255,-21.054,-6.639,-21.364,0.525,-0.215,1.374
seed8,2,25.0724,-9.014,23.444,1.529,0.18753,2.93344,-9.064,23.625,-9.171,24.197,0.525,0.244,1.54
seed8,2,65.3121,17.381,-25.428,2.371,0.18244,2.99838,17.517,-25.549,18.061,-25.614,0.525,0.18,2.222
seed8,2,65.5954,18.135,-25.855,2.583,0.19551,2.93843,18.161,-26.048,18.061,-25.614,0.525,-0.273,2.107
seed8,5,43.4077,-23.14,-15.276,2.042,0.19683,2.99654,-23.329,-15.329,-23.95,-15.385,0.525,0.292,0.898
seed9,1,27.9056,-15.606,26.02,0.998,0.15463,2.99998,-15.672,26.159,-16.074,26.672,0.65,0.153,2.453
seed9,1,28.2896,-16.498,26.77,0.822,0.1775,2.77129,-16.67,26.812,-16.074,26.672,0.65,-0.215,2.368
seed9,1,65.0895,17.385,-25.63,2.62,0.1717,2.8763,17.484,-25.765,17.576,-26.449,0.65,0.191,1.614
seed9,1,65.4137,18.015,-26.033,2.645,0.11079,2.46272,18.079,-25.944,17.576,-26.449,0.65,-0.045,1.894
seed9,2,20.9334,0.306,22.516,0.94,0.19836,2.94298,0.173,22.663,0.527,22.152,0.65,-0.224,1.742
seed9,2,21.5618,-1.043,23.818,0.932,0.19319,2.99803,-1.229,23.767,-1.882,23.482,0.65,0.254,1.639
seed9,2,41.3644,-21.403,-4.843,2.36,0.10345,2.9992,-21.3,-4.857,-21.383,-5.504,0.65,0.011,2.331
seed9,2,41.6951,-21.142,-5.853,2.376,0.19815,2.96062,-21.001,-5.992,-21.383,-5.504,0.65,-0.226,1.537
seed9,2,42.2018,-21.521,-7.309,2.4,0.18479,2.95934,-21.633,-7.457,-22.267,-7.728,0.65,0.206,1.16
seed9,2,43.1116,-22.054,-9.898,2.427,0.19834,2.87981,-22.22,-10.006,-22.95,-10.211,0.65,0.299,0.962
seed9,2,43.6598,-23.15,-11.003,2.449,0.17424,2.96203,-23.214,-10.841,-22.95,-10.211,0.65,0.167,1.695
seed9,2,44.565,-24.992,-12.95,2.605,0.1013,3.00046,-24.898,-12.986,-25.493,-13.365,0.65,0.001,1.647
seed9,2,44.893,-25.653,-13.765,2.618,0.19343,2.99728,-25.746,-13.935,-25.493,-13.365,0.65,-0.219,2.02
seed9,2,59.4234,2.221,-20.698,2.493,0.18476,2.9693,2.392,-20.637,1.846,-20.907,0.65,-0.221,1.959
seed9,2,61.3849,6.57,-24.524,2.614,0.18063,3.00019,6.696,-24.655,6.198,-24.241,0.65,-0.183,2.021
seed9,2,64.0921,12.934,-26.961,2.535,0.19445,2.97711,12.844,-27.133,12.543,-27.802,0.65,0.277,1.316
seed9,3,4.0903,9.01,8.41,1.238,0.19609,2.95185,9.166,8.522,9.81,8.772,0.65,0.228,1.439
seed9,3,4.6267,10.143,9.391,1.162,0.11965,2.91466,10.035,9.344,9.81,8.772,0.65,0.053,1.663
seed9,3,45.4204,-24.166,-18.193,2.638,0.19313,2.95135,-24.004,-18.296,-23.389,-18.509,0.65,0.189,1.28
seed9,3,55.424,-3.22,-21.417,2.363,0.10382,2.96316,-3.214,-21.519,-3.427,-22.067,0.65,0.032,2.204
seed9,3,58.2705,4.684,-21.751,2.236,0.18958,2.99841,4.784,-21.59,5.107,-20.956,0.65,0.251,0.98
seed9,3,60.8005,11.576,-23.369,2.402,0.17636,2.93592,11.752,-23.372,12.439,-23.289,0.65,0.217,1.82
seed9,4,3.0772,6.968,6.971,1.286,0.16465,2.96665,6.837,7.067,6.205,7.25,0.65,0.162,1.943
seed9,5,47.0237,-25.627,-20.297,2.479,0.18344,2.93343,-25.524,-20.449,-24.996,-20.935,0.65,0.247,1.349
seed9,5,58.8661,3.137,-23.302,2.428,0.17161,2.99991,3.297,-23.362,3.964,-23.213,0.65,0.182,0.993
seed9,5,59.0766,3.564,-23.592,2.405,0.10764,2.56371,3.537,-23.696,3.964,-23.213,0.65,-0.099,1.453
seed9,5,60.3654,6.619,-24.365,2.28,0.19822,1.07667,6.798,-24.451,6.198,-24.241,0.65,-0.211,1.893
seed9,5,60.5851,6.384,-24.617,2.099,0.19504,2.19401,6.455,-24.795,6.198,-24.241,0.65,-0.231,2.148
seed10,1,2.8834,6.172,6.756,1.653,0.19456,2.88966,6.336,6.86,6.966,7.072,0.65,0.205,1.132
seed10,1,3.3255,7.208,7.426,1.739,0.19127,2.66695,7.298,7.589,6.966,7.072,0.65,-0.221,1.953
seed10,1,7.6133,15.069,15.578,1.121,0.18554,2.94704,15.141,15.41,15.277,14.68,0.65,0.272,0.928
seed10,1,18.9138,5.93,25.902,1.163,0.19464,3.00055,5.9,26.095,6.088,26.853,0.65,0.314,1.549
seed10,1,35.6177,-22.151,10.83,2.379,0.11409,2.98793,-22.25,10.774,-21.885,11.332,0.65,-0.082,1.908
seed10,1,37.0133,-20.703,6.852,2.384,0.19541,2.98974,-20.758,6.665,-21.181,6.079,0.65,0.259,1.204
seed10,1,39.013,-17.245,2.04,2.549,0.14936,2.98904,-17.142,1.931,-16.55,1.623,0.65,0.161,1.61
seed10,1,42.7434,-17.841,-7.753,2.338,0.19276,2.97124,-17.691,-7.874,-16.998,-8.08,0.65,0.254,1.102
seed10,2,73.3094,12.634,-11.918,1.264,0.19697,2.9517,12.573,-12.105,12.521,-12.88,0.65,0.319,1.064
seed10,3,41.9518,-22.507,-6.248,2.222,0.19592,2.71284,-22.312,-6.235,-21.58,-6.04,0.65,0.3,1.22
seed10,4,3.4622,7.462,7.295,1.335,0.11395,2.96578,7.529,7.387,6.966,7.072,0.65,-0.106,1.679
seed10,4,5.2528,11.389,10.593,1.151,0.10559,2.84839,11.303,10.655,11.895,10.358,0.65,-0.092,2.11
seed10,4,6.5871,14.682,12.722,1.852,0.19656,2.94261,14.864,12.652,15.543,12.365,0.65,0.282,1.396
seed10,4,26.7469,-16.334,25.086,1.568,0.17602,2.99121,-16.505,25.043,-17.183,25.136,0.65,0.2,2.353
seed10,4,39.5487,-22.639,-3.602,2.317,0.10372,2.99998,-22.536,-3.6,-21.999,-3.74,0.65,0.005,1.278
seed10,4,49.8489,-16.095,-22.053,2.156,0.17937,2.99945,-15.916,-22.053,-16.545,-22.002,0.65,-0.197,1.617
seed10,4,51.1971,-12.247,-21.979,2.428,0.19985,3.00052,-12.05,-22.014,-11.397,-21.884,0.65,0.205,1.401
seed10,4,52.298,-9.194,-20.957,2.409,0.17474,2.99916,-9.129,-20.796,-8.93,-20.123,0.65,0.225,1.74
seed10,4,53.3471,-6.842,-18.875,2.548,0.16306,3.00037,-6.694,-18.808,-6.023,-18.695,0.65,0.189,1.783
seed10,4,53.758,-6.038,-18.072,2.545,0.10252,2.92796,-6.013,-17.975,-6.023,-18.695,0.65,-0.027,1.213
seed10,5,10.1728,19.57,19.978,0.957,0.19838,0.58371,19.723,20.104,20.053,20.71,0.65,0.227,2.143
seed10,5,16.9593,12.327,24.101,1.16,0.12296,2.9706,12.279,24.213,12.79,23.836,0.65,-0.117,1.899
seed10,5,21.3568,0.877,22.484,1.214,0.13852,3.00027,0.99,22.422,0.406,22.688,0.65,-0.137,1.747
seed10,5,21.6664,0.006,22.937,1.253,0.1832,2.97534,-0.146,23.039,0.406,22.688,0.65,-0.179,1.542
seed10,5,22.7525,-2.545,24.967,1.368,0.16722,3.0002,-2.674,25.071,-3.109,25.562,0.65,0.17,1.907
seed10,5,23.1746,-3.514,25.765,1.332,0.18597,2.96158,-3.68,25.847,-3.109,25.562,0.65,-0.197,1.61
seed10,5,24.0851,-5.996,26.588,1.319,0.19408,2.91222,-6.187,26.612,-5.576,26.689,0.65,-0.218,1.736
seed10,5,65.4532,19.744,-24.204,2.355,0.11152,2.96228,19.672,-24.288,19.804,-24.951,0.65,0.099,1.13
