seed,run,elapsed_s,x,y,z,distance_m,speed_mps,nearest_x,nearest_y,nearest_obstacle_x,nearest_obstacle_y,nearest_obstacle_r,nearest_obstacle_surf_dist_m,second_nearest_obstacle_surf_dist_m
seed5,1,3.6736,7.621,9.061,1.47,0.19916,2.9999,7.819,9.06,8.28,9.0,0.4,0.262,1.202
seed5,1,3.9444,8.193,9.537,1.423,0.14664,2.96694,8.287,9.426,8.28,9.0,0.4,0.144,1.715
seed5,2,3.7648,7.615,9.107,1.226,0.19713,2.91145,7.81,9.098,8.28,9.0,0.4,0.274,1.187
seed5,3,3.6661,7.635,9.15,1.986,0.18958,2.99139,7.821,9.13,8.28,9.0,0.4,0.262,1.201
seed5,4,28.6113,-17.006,25.601,1.566,0.10146,2.98612,-17.079,25.531,-16.778,25.804,0.4,-0.095,2.676
seed5,5,5.0434,8.027,9.458,0.898,0.12612,2.94618,8.112,9.366,8.28,9.0,0.4,0.123,1.58
seed6,1,29.4808,-20.991,24.128,1.003,0.19921,2.99517,-21.089,24.302,-21.14,24.743,0.4,0.233,1.472
seed6,2,6.7949,11.758,13.253,1.999,0.19889,2.73542,11.956,13.267,12.42,13.189,0.4,0.265,1.115
seed6,2,40.8652,-17.338,1.268,2.593,0.19624,2.99715,-17.222,1.11,-17.082,0.72,0.4,0.205,2.373
seed6,3,21.2657,0.04,24.806,1.266,0.18323,2.99772,-0.141,24.778,-0.55,24.847,0.4,0.191,0.962
seed7,1,19.1066,4.175,24.324,1.831,0.19264,2.9982,4.049,24.178,3.672,23.723,0.525,0.259,1.411
seed7,1,50.446,-15.101,-24.371,2.239,0.18716,3.00046,-15.001,-24.214,-14.691,-23.708,0.525,0.255,1.645
seed7,2,43.7006,-28.054,-9.777,2.635,0.17682,2.99288,-28.183,-9.898,-27.807,-9.543,0.525,-0.185,2.23
seed7,3,10.6226,22.217,20.332,1.119,0.19947,2.77608,22.317,20.162,22.568,19.589,0.525,0.297,0.807
seed7,3,42.654,-25.26,-11.563,2.434,0.19756,2.98387,-25.284,-11.757,-25.253,-11.269,0.525,-0.231,2.234
seed7,4,52.7049,-14.872,-22.914,2.388,0.19996,2.86731,-14.812,-23.098,-14.691,-23.708,0.525,0.289,1.04
seed7,5,24.8211,-11.1,25.317,1.601,0.19605,3.00046,-11.233,25.461,-11.644,25.803,0.525,0.204,1.661
seed7,5,25.1735,-11.862,26.039,1.611,0.19793,3.00041,-11.983,26.196,-11.644,25.803,0.525,-0.204,2.089
seed7,5,25.8112,-13.32,27.261,1.636,0.19262,2.98016,-13.44,27.41,-13.72,27.878,0.525,0.21,1.696
seed7,5,27.5916,-17.269,29.173,1.883,0.18012,2.6681,-17.415,29.07,-17.946,28.96,0.525,0.185,1.626
seed7,5,28.6819,-19.826,27.493,1.736,0.10927,2.99894,-19.734,27.436,-20.127,27.896,0.525,-0.022,1.86
seed7,5,47.0832,-24.349,-20.183,2.546,0.19292,2.97121,-24.386,-20.371,-24.37,-19.867,0.525,-0.208,1.96
seed7,5,55.3712,-6.731,-23.503,2.202,0.17854,3.00033,-6.557,-23.467,-6.038,-23.235,0.525,0.218,1.538
seed7,5,55.674,-5.901,-23.608,2.249,0.1366,2.98269,-5.869,-23.74,-6.038,-23.235,0.525,-0.128,1.359
seed7,5,73.8714,11.866,-12.898,2.146,0.19511,2.80805,11.709,-13.015,11.245,-13.385,0.525,0.264,2.052
