map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end
seed1,1,full,True,29.2,5,5,0,0.635,2906,12361.031141868512,2.6901784429065745,1.115789366782007,1.5725747197231834,0.7041886747404844,,102.39653998932312,11.434336997619932,0,289
seed1,1,sector,True,28.39,5,5,0,0.439,2817,3996.689045936396,1.1501935335689046,0.35574323321554774,0.7929474098939929,0.4290627102473498,33,96.34519930308123,11.558683265872594,0,283
seed1,1,adaptive,True,27.77,5,5,0,0.561,2748,3919.941605839416,1.2405149817518248,0.3619883394160584,0.8768649927007299,0.48615926642335766,32,96.50147108929026,11.765229092580077,0,274
seed1,2,full,True,28.12,5,5,0,0.527,2799,12080.89667896679,2.642417121771218,1.0852856937269373,1.5552356420664206,0.6842758745387454,,99.84847283044729,10.403427209290902,0,271
seed1,2,sector,True,26.81,5,5,0,0.565,2665,4015.0374531835205,1.2354114756554306,0.3842178202247191,0.8497128239700374,0.46663760299625473,33,99.07341154679368,11.1683911225879,0,267
seed1,2,adaptive,True,28.28,5,5,0,0.645,2820,3934.538732394366,1.2045587746478874,0.36157568309859156,0.8414629683098591,0.4634435035211268,32,99.30515182149931,12.002932332652362,0,284
seed1,3,full,True,26.97,5,5,0,0.583,2670,12687.180451127819,2.6657858646616543,1.0829781541353383,1.5809638909774437,0.7157821842105263,,99.32736171007268,10.667502378853644,0,266
seed1,3,sector,True,27.33,5,5,0,0.51,2723,4066.141304347826,1.1974204166666667,0.37648257608695657,0.8192357463768115,0.4469386594202899,32,98.88652134318473,11.893493840377568,0,276
seed1,3,adaptive,True,27.33,5,5,0,0.505,2715,4003.045283018868,1.2443056716981131,0.36147559999999995,0.8812416264150943,0.4974981849056604,33,99.60491148470206,11.948431014498132,0,265
seed1,4,full,True,26.98,5,5,0,0.564,2669,12142.20610687023,2.700173664122137,1.0922725992366413,1.6060870114503816,0.7204757671755726,,98.80862302330141,10.369139190884239,0,262
seed1,4,sector,True,27.15,5,5,0,0.568,2685,4148.916666666667,1.183826688405797,0.3754779927536232,0.8068512826086957,0.4386495217391304,33,98.31207599366707,11.990540796086126,0,276
seed1,4,adaptive,True,27.21,5,5,0,0.563,2695,3999.483754512635,1.2691038194945847,0.4297283501805054,0.837730797833935,0.45569296389891695,32,97.55939242857472,11.551224151444098,0,277
seed1,5,full,True,28.28,5,5,0,0.599,2818,12420.18345323741,2.722292625899281,1.1304281762589927,1.590108309352518,0.7108001726618706,,99.40482233460794,10.366802955591655,0,278
