map,mode,runs,completions,safety_qualified,collision_runs,collision_events,mean_time_s,worst_clearance_m,mean_points_per_update,mean_map_hz,mean_payload_mbps,mean_map_total_ms,mean_map_update_ms,mean_fsm_cpu_pct,effective_open_transitions,slowdown_refresh_triggers,slowdown_refresh_frames,slowdown_refresh_commit_acks,points_reduction_vs_full_pct,map_hz_reduction_vs_full_pct,payload_reduction_vs_full_pct,map_total_reduction_vs_full_pct,map_update_reduction_vs_full_pct,fsm_cpu_reduction_vs_full_pct,time_delta_vs_full_pct
seed1,full,3,3,3,0,0,61.08,0.256,15588.8,7.835,31.29,31.95,11.88,117.1,0,0,0,0,,,,,,,
seed1,sector,3,3,3,0,0,62.63,0.209,7243.2,7.359,8.53,11.28,4.16,95.7,0,0,0,0,,,,,,,
seed1,adaptive,3,3,3,0,0,62.93,0.276,12584.1,5.211,12.91,22.80,9.03,97.3,56,127,126,126,,,,,,,
seed2,full,3,3,3,0,0,58.60,0.264,16099.6,7.880,32.48,32.55,12.01,116.9,0,0,0,0,,,,,,,
seed2,sector,3,3,3,0,0,56.29,0.203,6808.0,7.945,8.65,11.99,4.41,101.3,0,0,0,0,,,,,,,
seed2,adaptive,3,3,3,0,0,59.80,0.284,12529.5,5.274,12.82,24.37,9.64,99.9,51,112,110,110,,,,,,,
seed3,full,3,3,3,0,0,65.01,0.255,22655.7,5.631,32.66,38.83,14.56,102.2,0,0,0,0,,,,,,,
seed3,sector,3,3,3,0,0,61.75,0.301,10430.3,6.689,11.23,13.53,4.84,96.5,0,0,0,0,,,,,,,
seed3,adaptive,3,3,3,0,0,71.02,0.249,19493.3,4.304,17.43,31.71,12.57,84.4,35,139,136,136,,,,,,,
seed4,full,3,3,3,0,0,72.32,0.220,25354.8,6.048,39.27,38.07,14.42,102.4,0,0,0,0,,,,,,,
seed4,sector,3,3,3,0,0,68.66,0.234,11627.4,5.970,11.16,13.74,4.85,85.8,0,0,0,0,,,,,,,
seed4,adaptive,3,3,3,0,0,74.60,0.250,21137.0,4.381,18.84,30.71,12.04,86.0,36,144,141,141,,,,,,,
seed5,full,3,3,3,0,0,70.66,0.215,27303.4,5.885,41.12,42.38,15.67,105.6,0,0,0,0,,,,,,,
seed5,sector,3,3,3,0,0,66.20,0.215,13125.4,6.236,13.09,14.89,5.38,91.7,0,0,0,0,,,,,,,
seed5,adaptive,3,3,3,0,0,70.88,0.214,22874.0,4.279,20.13,33.65,13.52,88.0,36,140,139,139,,,,,,,
seed6,full,3,3,3,0,0,75.68,0.260,29105.6,5.352,40.10,40.13,15.22,95.2,0,0,0,0,,,,,,,
seed6,sector,3,3,3,0,0,73.70,0.221,15847.2,5.777,14.66,13.82,4.75,84.8,0,0,0,0,,,,,,,
seed6,adaptive,3,3,3,0,0,79.89,0.266,25005.6,4.288,22.20,32.91,12.80,84.6,26,161,154,154,,,,,,,
seed7,full,3,3,3,0,0,77.88,0.145,37874.7,5.618,54.57,40.49,14.28,100.5,0,0,0,0,,,,,,,
seed7,sector,3,2,1,1,1,115.00,-0.172,21914.1,5.775,20.13,12.10,3.80,62.8,0,0,0,0,,,,,,,
seed7,adaptive,3,3,3,0,0,85.45,0.226,32076.8,3.879,25.97,32.86,12.56,76.6,22,163,159,159,,,,,,,
seed8,full,3,3,3,0,0,81.42,0.196,35567.9,5.171,47.28,39.99,14.35,89.6,0,0,0,0,,,,,,,
seed8,sector,3,3,3,0,0,73.22,0.197,17645.3,5.202,14.73,15.33,5.41,78.5,0,0,0,0,,,,,,,
seed8,adaptive,3,3,3,0,0,75.07,0.153,28972.0,4.128,24.53,33.88,13.39,86.8,36,141,139,138,,,,,,,
seed9,full,3,3,3,0,0,86.64,0.163,43213.0,5.742,63.66,38.39,13.07,96.7,0,0,0,0,,,,,,,
seed9,sector,3,3,3,0,0,88.44,0.146,24343.8,5.477,21.23,14.16,4.65,79.5,0,0,0,0,,,,,,,
seed9,adaptive,3,3,3,0,0,95.08,0.172,36913.8,3.771,28.99,31.70,11.81,73.9,19,174,166,166,,,,,,,
seed10,full,3,3,3,0,0,84.01,0.191,41831.5,6.262,66.96,40.27,13.43,108.8,0,0,0,0,,,,,,,
seed10,sector,3,3,2,1,1,90.46,-0.059,24540.2,4.713,18.60,14.26,4.77,74.1,0,0,0,0,,,,,,,
seed10,adaptive,3,3,3,0,0,85.51,0.225,36478.2,4.215,31.26,33.21,12.54,86.5,31,170,168,168,,,,,,,
all,full,30,30,30,0,0,73.33,0.145,29459.5,6.142,44.94,38.31,13.89,103.5,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
all,sector,30,29,27,2,2,75.64,-0.172,15352.5,6.114,14.20,13.51,4.70,85.1,0,0,0,0,47.89,0.46,68.40,64.73,66.13,17.83,3.14
all,adaptive,30,30,30,0,0,76.02,0.153,24806.4,4.373,21.51,30.78,11.99,86.4,348,1471,1438,1437,15.79,28.80,52.14,19.65,13.67,16.53,3.67
