map,metric,full,sector,adaptive,sector_vs_full_comparison_valid,sector_vs_full_reduction_pct,adaptive_vs_full_comparison_valid,adaptive_vs_full_reduction_pct,adaptive_vs_sector_comparison_valid,adaptive_vs_sector_reduction_pct
seed1,mission_time_s,59.003,59.087,58.39,True,-0.14236564242496683,True,1.0389302238869202,True,1.179616497706776
seed1,map_compute_ms_per_frame,30.781195314995674,8.60796000142149,19.47371356897268,True,72.03500412075306,True,36.735031340756045,True,-126.22913635468629
seed1,algorithm_cores_mean,1.45404814697395,1.03864558079778,1.0585634933476984,False,,False,,True,-1.9176813456058424
seed1,algorithm_core_s,88.2771853,62.8496089,63.3175364,False,,False,,True,-0.7445193505412598
seed1,algorithm_cores_p95_1s,1.6690938217434574,1.2147322792755884,1.24879868653541,False,,False,,True,-2.8044374749090593
seed1,algorithm_peak_pss_mib,3420.26904296875,3153.3685546875,3163.099609375,False,,False,,True,-0.3085923677723882
seed1,end_to_end_cores_mean,1.5046611418987945,1.2614442984917105,1.3105357770943824,True,16.16422705647589,True,12.901600194143196,True,-3.8916881753217214
seed1,end_to_end_core_s,91.3497407,76.3369404,78.3907585,True,16.43442026759907,True,14.186118209747686,True,-2.6904642617822296
seed1,end_to_end_cores_p95_1s,1.723220268180076,1.4372897850635304,1.5102944342915032,True,16.592799446267065,True,12.35627492435703,True,-5.079327077019883
seed1,end_to_end_peak_pss_mib,3466.95390625,3342.5822265625,3368.31904296875,True,3.5873473674769785,True,2.845000710953702,True,-0.7699680864012028
seed1,planner_ingress_mib_s,5.253013653187275,1.414598069294869,1.214338292188014,True,73.07073305555642,True,76.88301663843549,True,14.15665562209328
seed1,dds_algorithm_mib_s,,1.414598069294869,1.217067801351467,False,,False,,True,13.963702639709123
seed2,mission_time_s,56.69,54.057,54.267,True,4.644558123125764,True,4.274122420179917,True,-0.3884788279038808
seed2,map_compute_ms_per_frame,32.1384282717115,8.891125008877806,18.950776624109828,True,72.33491030205778,True,41.03390351297779,True,-113.14261811848827
seed2,algorithm_cores_mean,1.4654567061803014,1.065394521792035,1.082348492710537,False,,False,,True,-1.5913326539341104
seed2,algorithm_core_s,85.641491,59.320929,60.2723316,False,,False,,True,-1.603822826173207
seed2,algorithm_cores_p95_1s,1.6979872004571057,1.21527265822274,1.24691071323004,False,,False,,True,-2.6033709220092858
seed2,algorithm_peak_pss_mib,3416.283984375,3151.4720703125,3161.91533203125,False,,False,,True,-0.3313772575402947
seed2,end_to_end_cores_mean,1.516205887032703,1.2881199569722637,1.3363695013480423,True,15.043203038000065,True,11.860947594433254,True,-3.7457337815951246
