map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed11,1,raw,True,74.27,2,2,0,0.298,0,0.342,0.142,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_forensics/seed11_run1_raw.json,7154,7100,0.342,-48.039,1.329,-5.909,3.117,-48.039,50.053,213.254,3.001,1.991,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65713.01948051948,14.442566162337663,5.217473337662337,9.223396025974028,4.292469155844156,,86.705898284853,,51.207849958500695,2,156,,
seed11,1,adaptive,True,73.69,2,2,0,0.246,1,0.177,-0.023,1,static_pcd,5.3447,0.17716,1.4028199911117554,-33.4746208190918,1.9324899911880493,2.95929,1.5794399976730347,-33.46139907836914,1.9285900592803955,results/native_seed11_raw_adaptive_n30_forensics/seed11_run1_adaptive.json,7019,6992,0.285,-48.048,1.514,-6.197,3.102,-48.048,50.015,212.539,3.002,1.973,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,185,11152348,3581703,32.116,True,89.189,False,0.0,0.0,1,0,0,1785902125.080986,1785902125.080986,1785902149.888541,,,,,,2,0.130015,0.054096,,,,,,,,,,,,,,,,,,,,,,,20347.945454545454,7.0715493333333335,1.9841754787878787,5.0857537878787875,2.704513618181818,32.116,87.63147229912887,8.283970873156798,56.084846942443924,4,169,,
seed11,2,adaptive,True,72.91,2,2,1,0.038,2,0.124,-0.076,3,live_cloud,2.4461,0.18333,-0.16547000408172607,-42.26219940185547,1.776960015296936,2.74872,-0.2651500105857849,-42.124549865722656,1.8457000255584717,results/native_seed11_raw_adaptive_n30_forensics/seed11_run2_adaptive.json,6999,6950,0.594,-48.136,1.859,-2.997,3.011,-48.518,50.036,211.982,3.001,1.516,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,235,14675828,4770894,32.509,True,91.915,False,0.0,0.0,1,0,0,1785902208.468567,1785902208.468567,1785902243.387162,,,,,,2,0.159959,0.004384,,,,,,,,,,,,,,,,,,,,,,,21033.737089201877,6.779261981220658,2.0700445680751174,4.70741530516432,2.420021267605634,32.509,90.46533553029423,8.423230338429457,56.332126334314786,5,218,,
seed11,2,raw,True,74.5,2,2,0,0.293,0,0.241,0.041,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_forensics/seed11_run2_raw.json,7168,6935,0.356,-48.042,1.636,-5.259,1.591,-48.042,50.043,215.966,3.001,1.99,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67851.25263157894,13.789806105263157,5.320970052631579,8.467016947368421,3.8753996842105263,,92.52769718091676,,56.26731523780938,1,191,,
seed11,3,raw,True,74.3,2,2,0,0.337,0,0.277,0.077,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_forensics/seed11_run3_raw.json,7131,6960,0.64,-48.117,1.835,-3.925,3.093,-48.433,50.014,214.861,3.001,1.609,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67810.23305084746,12.925995961864407,5.230862351694916,7.693381728813559,3.408123258474576,,94.88958094747966,,55.463694678777216,4,240,,
seed11,3,adaptive,True,72.63,2,2,0,0.273,0,0.361,0.161,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_forensics/seed11_run3_adaptive.json,6954,6864,0.306,-48.042,1.932,-6.092,6.955,-48.042,50.075,210.709,3.001,1.982,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,223,13255609,4268942,32.205,True,87.892,False,0.0,0.0,1,0,0,1785902459.116978,1785902459.116978,1785902494.516064,,,,,,1,0.120118,0.059191,,,,,,,,,,,,,,,,,,,,,,,19684.81553398058,6.174847524271844,1.8188270922330096,4.354426582524272,2.2964882669902913,32.205,86.3369746815271,8.80004764091212,54.78614161760764,5,211,,
seed11,4,adaptive,True,72.24,2,2,0,0.307,0,0.377,0.177,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_forensics/seed11_run4_adaptive.json,6946,6935,0.285,-48.068,1.584,-3.149,5.285,-48.068,50.07,210.062,3.001,1.953,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,217,12822115,4167678,32.504,True,88.94,False,0.0,0.0,1,0,0,1785902541.205376,1785902541.205376,1785902576.034793,,,,,,1,0.130013,0.158727,,,,,,,,,,,,,,,,,,,,,,,20261.406091370558,6.67888878680203,1.9769357868020305,4.699937868020305,2.4325123502538073,32.504,85.60454907380154,8.679665867791694,53.874856286500126,7,204,,
seed11,4,raw,True,73.84,2,2,0,0.26,0,0.323,0.123,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_forensics/seed11_run4_raw.json,7054,6937,0.533,-48.169,1.794,-3.557,2.752,-48.169,50.016,214.101,3.001,1.907,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65017.754838709676,12.194177925806452,5.284375629032258,6.907956329032258,2.873709006451613,,90.84362070514248,,52.99473101890086,8,318,,
seed11,5,raw,True,71.97,2,2,0,0.311,1,0.188,-0.012,1,static_pcd,2.7005,0.19795,-0.30684998631477356,-39.87184143066406,2.482150077819824,2.99836,-0.4948900043964386,-39.86058044433594,2.4213500022888184,results/native_seed11_raw_adaptive_n30_forensics/seed11_run5_raw.json,6920,6865,0.322,-48.034,1.353,-3.635,2.941,-48.034,50.011,209.403,3.001,1.992,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64943.58064516129,12.90880494623656,5.493123082437275,7.413969175627241,3.125940422939068,,92.55741894946621,,54.46311698509288,2,281,,
seed11,5,adaptive,True,73.41,2,2,1,0.071,1,0.151,-0.049,2,live_cloud,0.2245,0.18651,-0.7728599905967712,-48.171180725097656,1.9421600103378296,2.9866,-0.9382799863815308,-48.12643814086914,2.0157899856567383,results/native_seed11_raw_adaptive_n30_forensics/seed11_run5_adaptive.json,6997,6980,0.296,-48.044,1.389,-3.763,1.874,-48.567,50.092,213.797,3.001,1.491,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,266,16745728,5441125,32.493,True,91.729,False,0.0,0.0,1,0,0,1785902788.256732,1785902788.256732,1785902823.315399,,,,,,2,0.149975,0.034715,,,,,,,,,,,,,,,,,,,,,,,21115.388663967613,6.217992522267206,1.9710805951417003,4.245146789473685,2.1539394331983805,32.493,91.0691213903554,9.136620133588066,55.30086339302538,3,250,,
