map,metric,full,sector,adaptive,sector_vs_full_comparison_valid,sector_vs_full_reduction_pct,adaptive_vs_full_comparison_valid,adaptive_vs_full_reduction_pct,adaptive_vs_sector_comparison_valid,adaptive_vs_sector_reduction_pct
occ_p_r1_nom,mission_time_s,58.6,60.91,58.11,True,-3.941979522184292,True,0.8361774744027337,True,4.596946314234112
occ_p_r1_nom,map_compute_ms_per_frame,29.591494085667215,8.823644104595878,18.3726393516129,True,70.18182292840139,True,37.912430854541476,True,-108.2205394259197
occ_p_r1_nom,algorithm_cores_mean,1.439398716475015,1.0525441878604613,1.0715133822099068,False,,False,,True,-1.8022230865199778
occ_p_r1_nom,algorithm_core_s,87.600424,66.348869,63.965215,False,,False,,True,3.5926068310222337
occ_p_r1_nom,algorithm_cores_p95_1s,1.7322194618464883,1.2463954110499111,1.2603004132052928,False,,False,,True,-1.1156172457076616
occ_p_r1_nom,algorithm_peak_pss_mib,3447.892578125,3170.8232421875,3157.8251953125,False,,False,,True,0.4099265673993501
occ_p_r1_nom,end_to_end_cores_mean,1.4970409829727926,1.3072668883882221,1.373818110804359,True,12.676613181806223,True,8.231095445613,True,-5.090867290166765
occ_p_r1_nom,end_to_end_core_s,91.108477,82.405737,82.011641,True,9.552063964366337,True,9.984620860252111,True,0.4782385478816901
occ_p_r1_nom,end_to_end_cores_p95_1s,1.791288714924864,1.496580816934491,1.5723529453681415,True,16.452283517162368,True,12.222249140106136,True,-5.063016148293132
occ_p_r1_nom,end_to_end_peak_pss_mib,3496.1533203125,3363.2509765625,3369.1767578125,True,3.80138774171725,True,3.6318934230450264,True,-0.17619206212367183
occ_p_r1_nom,planner_ingress_mib_s,5.100325398884536,1.3364257336523984,1.0772381442648842,True,73.79724568270329,True,78.8790310418139,True,19.39408848998775
occ_p_r1_nom,dds_algorithm_mib_s,,1.3364257336523984,1.0799588485872698,False,,False,,True,19.190507830481145
occ_p_r1_occ,mission_time_s,59.62,60.49,58.31,True,-1.4592418651459318,True,2.1972492452197168,True,3.6039014713175725
occ_p_r1_occ,map_compute_ms_per_frame,34.464341407528636,8.767771096774194,18.065188382838286,True,74.55987627008912,True,47.58295779041929,True,-106.04083048523889
occ_p_r1_occ,algorithm_cores_mean,1.5086682421830335,1.056678955239476,1.0687753853826703,False,,False,,True,-1.1447592557053299
occ_p_r1_occ,algorithm_core_s,92.47478,65.474638,64.262696,False,,False,,True,1.8510098520895883
occ_p_r1_occ,algorithm_cores_p95_1s,1.7512455389969583,1.2508475104322312,1.2583697463235943,False,,False,,True,-0.6013711366594817
occ_p_r1_occ,algorithm_peak_pss_mib,3417.1884765625,3151.154296875,3160.9912109375,False,,False,,True,-0.3121685939738104
