_mode,seed,run,mode,world,success,mission_time_s,frames,active_frames,pts_mean,total_ms_mean,total_ms_active_mean,raycast_ms_mean,raycast_ms_active_mean,update_ms_mean,inflation_ms_mean,cache_mean,fsm_cpu_pct,cpp_cpu_pct,collisions,min_clearance_m,corners_reached,timeouts,perf_row_start,perf_row_end,mission_rc,samples
full,77,1,full,default_seed77,True,141.85,1147,1147,7227.954664341761,5.076653504795118,5.076653504795118,1.4874651935483871,1.4874651935483871,3.5868553095030515,1.5258354202266782,6903.452484742807,106.32284837260812,6.976224459773481,2,-0.031,4,1,190,1337,-9,33754
full,77,2,full,default_seed77,False,0.0,,,,,,,,,,,70.88186626555964,2.5469491655105494,0,0.389,0,0,,3288,-9,5369
full,77,3,full,default_seed77,False,,,,,,,,,,,,43.877753357436916,3.0465333497842764,0,,,,,,-9,0
sector,77,1,sector,default_seed77,True,115.55,873,873,3020.6460481099657,2.9051476792668955,2.9051476792668955,0.6253744604810997,0.6253744604810997,2.2772963493699887,1.226279436426117,2417.8957617411224,43.97091347449024,6.111562951838912,0,0.359,4,0,138,1011,-9,33729
sector,77,2,sector,default_seed77,True,114.9,967,967,3015.001034126163,1.280199341261634,1.280199341261634,0.5466835067218201,0.5466835067218201,0.7316966401240951,0.21121256876938985,2411.0692864529474,35.63934882302931,4.9116162583601115,0,0.4,4,0,2824,3791,-9,33877
sector,77,3,sector,default_seed77,True,115.9,958,958,3049.5751565762002,1.2732120448851776,1.2732120448851776,0.5730400762004175,0.5730400762004175,0.6982748162839248,0.22225239457202506,2465.4070981210857,36.118641866382326,4.9704344305357155,0,0.434,4,0,5658,6616,-9,33878
adaptive,77,1,adaptive,default_seed77,True,110.35,975,975,8834.792820512821,4.733402492307692,4.733402492307692,1.6443432153846154,1.6443432153846154,3.0870040020512817,1.2566547774358974,7256.428717948718,37.321883160635686,5.599832577942545,0,0.54,4,0,213,1188,-9,33881
adaptive,77,2,adaptive,default_seed77,True,113.9,986,986,8883.432048681541,3.1813454969574035,3.1813454969574035,1.582072265720081,1.582072265720081,1.5973209219066937,0.4140675223123732,7282.948275862069,37.1099713798357,5.596887392127312,0,0.58,4,0,2944,3930,-9,33856
adaptive,77,3,adaptive,default_seed77,True,114.65,978,978,8947.15644171779,2.799411237218814,2.799411237218814,1.6373611717791412,1.6373611717791412,1.1600855593047035,0.14552284662576687,7270.209611451943,37.28053895493287,5.45571498546938,0,0.565,4,0,5834,6812,-9,33888
