map,mode,n,complete,collisions,time_mean_s,time_sd_s,clearance_mean_m,clearance_min_m,map_hz,rog_ms_per_frame,kept_pct,logical_planner_ingress_mib_s,external_dds_mib_s,end_to_end_cores_mean,end_to_end_core_s,end_to_end_peak_pss_mib,stall_open_sum,replan_open_sum,trajectory_guard_open_sum,effective_full_open_sum
seed1,full,10,10,0,58.170,1.633,0.297,0.244,10.196,30.217,,5.373,,1.482,89.063,3476.657,0,0,0,0
seed1,sector,10,10,0,60.273,1.696,0.276,0.218,10.241,8.638,41.258,1.402,1.402,1.253,77.706,3347.418,0,0,0,0
seed1,adaptive,10,10,0,58.243,3.227,0.271,0.196,5.314,18.593,35.121,1.209,1.211,1.299,78.213,3374.921,0,233,22,189
seed2,full,10,10,0,57.428,2.027,0.313,0.259,10.169,31.330,,5.304,,1.491,88.423,3460.731,0,0,0,0
seed2,sector,10,10,0,55.370,1.761,0.321,0.297,10.267,8.939,37.692,1.248,1.248,1.260,71.955,3339.841,0,0,0,0
seed2,adaptive,10,10,0,54.617,1.080,0.292,0.208,5.291,17.277,32.165,1.080,1.082,1.288,72.743,3369.196,1,224,12,203
seed3,full,10,10,0,58.953,2.085,0.297,0.256,10.176,37.059,,7.593,,1.567,95.169,3513.110,0,0,0,0
seed3,sector,10,10,0,56.550,1.313,0.253,0.170,10.316,10.435,40.512,1.958,1.958,1.290,75.503,3364.054,0,0,0,0
seed3,adaptive,10,10,0,57.061,1.564,0.277,0.216,5.470,21.274,34.024,1.670,1.673,1.346,79.382,3400.204,1,238,16,194
seed4,full,10,10,0,63.084,3.142,0.271,0.233,10.179,36.772,,8.120,,1.558,101.216,3526.588,0,0,0,0
seed4,sector,10,10,0,64.504,6.400,0.250,0.191,10.281,10.188,46.059,2.413,2.413,1.264,83.732,3382.965,0,0,0,0
seed4,adaptive,10,10,0,61.905,2.604,0.240,0.169,5.426,22.990,37.629,1.962,1.965,1.337,85.100,3422.374,4,256,41,198
seed5,full,10,10,0,62.201,3.592,0.278,0.222,10.168,40.286,,8.921,,1.578,101.157,3401.576,0,0,0,0
seed5,sector,10,10,0,62.415,3.845,0.263,0.199,10.315,10.969,44.646,2.625,2.625,1.273,82.026,3429.148,0,0,0,0
seed5,adaptive,10,10,0,59.393,2.618,0.266,0.216,5.285,23.113,33.503,1.940,1.942,1.347,82.539,3461.353,1,245,27,200
seed6,full,10,10,0,67.400,4.636,0.246,0.174,10.188,38.078,,9.876,,1.556,108.061,3406.673,0,0,0,0
seed6,sector,10,10,0,66.691,3.731,0.287,0.247,10.256,10.557,47.391,2.942,2.942,1.262,86.391,3435.254,0,0,0,0
seed6,adaptive,10,10,0,64.572,3.736,0.242,0.173,5.443,21.909,37.352,2.400,2.402,1.335,88.529,3475.464,2,259,33,204
seed7,full,10,10,0,74.146,5.631,0.259,0.187,10.149,38.084,,11.726,,1.512,115.148,3490.344,0,0,0,0
seed7,sector,10,10,0,67.606,1.926,0.243,0.183,10.286,11.034,49.055,3.694,3.694,1.254,87.310,3475.934,0,0,0,0
seed7,adaptive,10,10,0,67.610,4.156,0.247,0.186,5.632,24.428,38.809,2.916,2.919,1.341,93.303,3509.673,2,271,51,172
seed8,full,10,10,0,65.725,5.621,0.258,0.213,10.155,40.970,,10.879,,1.583,107.360,3473.760,0,0,0,0
seed8,sector,10,10,0,64.003,4.687,0.264,0.194,10.316,11.672,44.904,3.155,3.155,1.278,84.462,3461.148,0,0,0,0
seed8,adaptive,10,10,0,63.811,2.322,0.258,0.194,5.593,23.981,36.642,2.600,2.603,1.336,88.092,3513.386,2,256,48,213
seed9,full,10,10,0,76.542,3.972,0.250,0.183,10.070,37.262,,13.517,,1.510,119.214,3508.845,0,0,0,0
seed9,sector,10,10,0,75.691,4.782,0.226,0.174,10.260,10.987,51.536,4.434,4.434,1.251,97.405,3514.112,0,0,0,0
seed9,adaptive,10,10,0,72.907,3.818,0.252,0.214,5.534,24.105,39.752,3.487,3.490,1.327,99.575,3557.251,5,279,73,203
seed10,full,10,9,0,89.907,39.563,0.233,0.182,9.434,39.872,,12.118,,1.596,160.219,3500.633,0,0,0,0
seed10,sector,10,9,0,85.734,33.417,0.228,0.021,10.258,10.814,52.147,4.449,4.449,1.209,102.095,3504.023,0,0,0,0
seed10,adaptive,10,9,0,84.599,36.378,0.231,0.178,5.377,26.173,39.536,3.250,3.252,1.414,133.658,3586.315,5,330,67,233
