mode,rows,completed,safe,contacts,mission_time_s_mean,hazard_clearance_m_mean,planner_ingress_mib_s_mean,map_compute_ms_mean,algorithm_cpu_cores_mean,end_to_end_cpu_cores_mean,end_to_end_cpu_core_s_mean,end_to_end_peak_pss_mib_mean,frontend_risk_brake_rows,effective_full_open_transitions
full,5,5,5,0,59.852,1.1874,4.584227,42.984096,1.617221,1.677232,103.32619,3467.338281,0,0
sector,5,4,4,0,95.294,3.87,0.759692,10.045068,0.903329,1.152105,87.938419,3403.139844,0,0
adaptive,5,5,5,0,59.32,1.4512,0.805679,21.973974,1.100537,1.399474,85.726797,3428.750391,2,105
