map,run,mode,experiment_profile,filter_profile,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,position_command_messages,trajectory_flag2_messages,trajectory_flag3_messages,guard_stop_detected,guard_stop_time_s,shadow_safe_candidates,shadow_unsafe_candidates,shadow_skipped_candidates,shadow_validated_candidates,shadow_geometric_unsafe,shadow_map_race,shadow_other_indeterminate,shadow_unsafe_exp,shadow_unsafe_appended_backup,shadow_unsafe_carry_backup,shadow_unsafe_stitch,shadow_validation_ms_mean,shadow_validation_ms_max,shadow_contact_events_with_epoch,shadow_contacts_with_prior_unsafe,shadow_contacts_without_prior_unsafe,shadow_geometric_unsafe_followed_by_contact,shadow_geometric_unsafe_not_followed_by_contact,shadow_nearest_prediction_error_s,shadow_correlated_segments,first_position_command_s,first_trajectory_flag2_s,first_trajectory_flag3_s,max_position_command_gap_s,first_motion_s,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_enabled,static_pcd_point_count,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_recovery_active,filter_open_burst_s,filter_open_cooldown_s,filter_near_field_radius_m,filter_near_field_speed_gain_s,filter_near_field_max_radius_m,filter_max_effective_near_field_radius_m,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,filter_replan_guard_en,filter_replan_fail_streak_open,filter_replan_ok_streak_close,filter_replan_guard_open,filter_replan_guard_open_transitions,filter_replan_guard_close_transitions,filter_replan_guard_open_duty_pct,filter_replan_status_count,filter_replan_fail_count,filter_max_replan_fail_streak,filter_first_replan_guard_open_time_s,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed3,1,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.77,5,5,0,0.408,True,444850,0,0.49,0.29,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed3_run1_full_guard_reroute_v7.json,9576,8413,0.831,-1.197,1.664,-25.309,24.025,-24.833,26.297,224.002,7.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21168.82051282051,23.270476282051284,14.58532358974359,8.683890993589744,1.8745632435897435,,54.685203281518454,,,3,315,,
seed3,2,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.94,5,5,0,0.415,True,444850,0,0.481,0.281,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed3_run2_full_guard_reroute_v7.json,12593,10770,1.372,-0.514,1.611,-24.43,24.078,-25.146,27.946,228.782,7.0,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21741.017341040464,22.255378901734105,13.983398757225432,8.27065774566474,1.685509387283237,,43.05831137194514,,25.530050087647002,4,350,,
seed3,3,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.53,5,5,0,0.388,True,444850,0,0.494,0.294,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed3_run3_full_guard_reroute_v7.json,9551,8162,0.638,-1.322,1.869,-25.28,24.025,-25.454,26.428,228.306,7.0,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20866.165217391303,21.863342898550723,13.814735710144927,8.047371217391303,1.654988031884058,,56.851398741161496,,21.182643088874663,3,348,,
seed3,4,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.06,5,5,0,0.478,True,444850,0,0.508,0.308,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed3_run4_full_guard_reroute_v7.json,9405,8001,1.404,-0.409,2.168,-24.52,24.025,-24.176,25.479,228.126,7.0,0.501,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21306.68112244898,22.923275765306123,14.693613826530612,8.228422908163266,1.6325996556122448,,57.057868367101165,,,4,396,,
seed3,5,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,5,5,0,0.451,True,444850,0,0.482,0.282,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed3_run5_full_guard_reroute_v7.json,9949,8749,0.876,-1.205,2.213,-23.989,24.025,-24.0,24.53,226.322,7.007,0.68,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21268.291139240508,23.38713386075949,14.626838987341772,8.759036012658228,1.8504142753164556,,51.77056703175441,,24.883427226149866,4,320,,
seed4,1,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.02,5,5,0,0.402,True,444850,0,0.474,0.274,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed4_run1_full_guard_reroute_v7.json,12001,10670,0.958,-0.79,1.206,-23.972,24.025,-24.673,26.533,235.598,7.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23614.498666666666,22.7196024,14.352731706666667,8.36568528,1.694585472,,50.8673626571237,,22.182225015825026,3,378,,
seed4,2,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.09,5,5,0,0.398,True,444850,0,0.494,0.294,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed4_run2_full_guard_reroute_v7.json,13308,11530,1.401,-0.53,1.613,-24.226,24.174,-25.732,26.524,238.419,7.0,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20437.858796296296,21.97307662037037,14.18062851851852,7.791196712962964,1.4331656597222222,,43.6088379852097,,22.13016829110184,4,436,,
seed4,3,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.5,5,5,0,0.394,True,444850,0,0.467,0.267,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed4_run3_full_guard_reroute_v7.json,12849,11690,1.345,-0.624,1.13,-25.005,24.025,-25.296,26.886,232.603,7.0,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21230.71301775148,22.631461834319524,14.220461568047337,8.409532189349111,1.7052406420118342,,41.528578334199565,,24.027454752576183,4,342,,
seed4,4,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.75,5,5,0,0.397,True,444850,0,0.415,0.215,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed4_run4_full_guard_reroute_v7.json,11073,9798,0.86,-1.208,1.935,-24.442,24.025,-25.812,24.601,230.011,6.999,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23875.20895522388,22.485665074626866,14.07237191044776,8.412072417910448,1.7416893552238806,,49.77059190277419,,,3,338,,
seed4,5,full_guard_reroute_v7,,legacy,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.45,5,5,0,0.429,True,444850,0,0.476,0.276,,,,,,,0,,,,,,,,,,,../../tmp/final_full_tight_v7_t240_seed1_10_n5_20260822_artifacts/seed4_run5_full_guard_reroute_v7.json,8744,7940,1.162,-0.918,1.291,-25.145,24.025,-24.628,24.821,225.367,7.0,0.664,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22365.64912280702,23.42594239766082,14.770257865497076,8.65403432748538,1.8138222046783627,,59.64605180593961,,22.08788899234289,4,346,,
