mode,runs,successes,contact_runs,contact_rate_pct,contact_wilson95_low_pct,contact_wilson95_high_pct,contact_runs_when_mode_first,contact_runs_when_mode_second,live_transitions,static_pcd_contact_runs,static_pcd_transitions,points_mean,kept_pct_mean,raycast_ms_mean,mapping_ms_mean,effective_map_hz,fsm_cpu_pct_mean,filter_cpu_pct_mean,monitor_cpu_pct_mean,successful_mission_time_s_mean,min_live_distance_m,min_static_pcd_distance_m,contact_fisher_p,paired_mcnemar_p,completion_fisher_p
raw,30,30,8,26.7,14.2,44.4,5,3,16,11,19,65435.6,,5.188,13.365,2.917,91.8,,54.7,73.47,0.005,0.014,0.180,0.210,1.000
adaptive,30,29,14,46.7,30.2,63.9,11,3,27,14,27,22135.9,34.22,2.046,6.514,2.982,90.1,8.9,57.2,73.37,0.002,0.016,0.180,0.210,1.000
