map,run,order,control_mission_time_s,shadow_mission_time_s,delta_mission_time_s,control_path_length_m,shadow_path_length_m,delta_path_length_m,control_fsm_cpu_pct,shadow_fsm_cpu_pct,delta_fsm_cpu_pct,control_monitor_cpu_pct,shadow_monitor_cpu_pct,delta_monitor_cpu_pct,control_total_ms_mean,shadow_total_ms_mean,delta_total_ms_mean,control_raycast_ms_mean,shadow_raycast_ms_mean,delta_raycast_ms_mean,control_update_ms_mean,shadow_update_ms_mean,delta_update_ms_mean,control_inflation_ms_mean,shadow_inflation_ms_mean,delta_inflation_ms_mean,control_success,shadow_success,delta_success,control_contact_event_count,shadow_contact_event_count,delta_contact_event_count
seed4,1,control_shadow,30.02,29.26,-0.759999999999998,220.032,221.167,1.134999999999991,99.314065465648,105.16543921072977,5.851373745081773,26.28617518962835,27.295074475861384,1.008899286233035,6.440609402985075,6.476684907975461,0.03607550499038581,1.574563813432836,1.622573791411043,0.04800997797820705,4.86437195522388,4.852560288343558,-0.011811666880321425,2.8728214477611944,2.836986613496933,-0.035834834264261595,True,True,0,1,0,-1
seed4,2,shadow_control,29.23,29.79,0.5599999999999987,221.889,221.172,-0.717000000000013,105.87487491620122,109.87688971000699,4.00201479380577,26.61710740955706,27.005358096405658,0.38825068684859687,6.623363400000001,7.365521127819549,0.7421577278195484,1.6047427866666666,1.7758870751879698,0.17114428852130326,5.016927933333333,5.588033308270677,0.5711053749373436,2.982285886666667,3.3787283082706767,0.3964424216040099,True,True,0,0,2,2
seed5,1,control_shadow,27.32,27.87,0.5500000000000007,219.332,222.667,3.335000000000008,107.56399922594672,109.9700974348708,2.406098208924078,27.45408859547603,27.48950729808233,0.0354187026063002,8.59859168,8.663504122807018,0.06491244280701736,1.9567824480000002,1.975737912280702,0.018955464280701717,6.640113336,6.686150052631579,0.04603671663157893,4.040527056,4.114190350877193,0.0736632948771927,True,True,0,0,4,4
seed5,2,shadow_control,28.93,31.07,2.1400000000000006,223.891,225.202,1.311000000000007,106.00155437717981,109.6580427041791,3.6564883269992805,26.295924617027293,27.518648463054305,1.2227238460270122,7.9618431746031755,7.891064456521739,-0.07077871808143676,1.7539213492063492,2.029700608695652,0.27577925948930293,6.206206468253968,5.859693641304348,-0.3465128269496196,3.726297912698413,3.430888711956522,-0.2954092007418909,True,True,0,1,0,-1
seed6,1,control_shadow,28.93,30.43,1.5,222.102,222.932,0.8299999999999841,106.33628970196587,105.06573515894075,-1.2705545430251135,23.78283183312973,27.409750374403785,3.6269185412740548,8.661833333333334,8.307774615384615,-0.35405871794871935,2.013602242424242,1.9343863076923078,-0.07921593473193433,6.645635848484849,6.371840598290599,-0.27379525019425,4.0142849393939395,3.9134404529914533,-0.10084448640248622,True,True,0,3,5,2
seed6,2,shadow_control,28.72,29.42,0.7000000000000028,223.093,224.529,1.436000000000007,104.50581230165542,104.96833773125569,0.46252542960026233,27.77115227381187,,,9.256384722222222,7.748280074074074,-1.508104648148148,1.8589607916666666,1.859317651851852,0.0003568601851853259,7.395835138888889,5.887241511111111,-1.5085936277777776,4.66495,3.5551170222222224,-1.1098329777777778,True,True,0,5,2,-3
seed7,1,control_shadow,32.3,33.15,0.8500000000000014,223.664,223.415,-0.24899999999999523,106.85117326873875,110.41670670745538,3.5655334387166278,,26.116424518842965,,10.861340421052631,8.838356445783132,-2.022983975269499,2.6452347368421054,2.5198614457831328,-0.12537329105897266,8.214285263157894,6.316700963855421,-1.8975842993024727,5.151093157894737,3.7790616024096386,-1.3720315554850981,True,True,0,3,2,-1
seed7,2,shadow_control,29.02,30.88,1.8599999999999994,222.554,223.147,0.5929999999999893,104.84363292770253,109.33954301156984,4.495910083867315,,29.563965485624962,,10.32753875,9.298317285714287,-1.0292214642857136,2.267265568181818,2.415412642857143,0.14814707467532484,8.058522727272727,6.881224285714286,-1.1772984415584418,5.105196363636363,4.1627759285714285,-0.9424204350649346,True,True,0,13,0,-13
seed8,1,control_shadow,27.95,28.71,0.7600000000000016,220.152,220.462,0.3100000000000023,105.13046497369074,108.6313719900244,3.50090701633367,27.138935066429486,27.337821294009185,0.19888622757969898,10.704764555555554,11.084964266666667,0.3801997111111124,2.4095647777777778,2.2903225333333332,-0.11924224444444453,8.293389444444445,8.7928344,0.4994449555555551,5.228355722222223,5.631224546666666,0.40286882444444316,True,True,0,1,2,1
seed8,2,shadow_control,29.81,28.03,-1.7799999999999976,222.987,219.374,-3.6129999999999995,104.80878854376193,107.97577923975535,3.1669906959934195,26.682493677389473,28.07116656308482,1.388672885695346,10.077271458333334,9.914817454545455,-0.16245400378787878,2.2047173958333333,2.327171009090909,0.12245361325757553,7.8708940625,7.585894000000001,-0.2850000624999991,4.853748645833334,4.644136636363636,-0.20961200946969782,True,True,0,3,0,-3
