map,metric,full,sector,adaptive,sector_vs_full_comparison_valid,sector_vs_full_reduction_pct,adaptive_vs_full_comparison_valid,adaptive_vs_full_reduction_pct,adaptive_vs_sector_comparison_valid,adaptive_vs_sector_reduction_pct
seed1,mission_time_s,61.1,60.162,59.484,True,1.5351882160392838,True,2.644844517184942,True,1.1269572155180967
seed1,map_compute_ms_per_frame,35.78712520277707,9.310970794969322,21.18554522703642,True,73.9823449293245,True,40.80120963336717,True,-127.53315087705873
seed1,algorithm_cores_mean,1.5357173859934028,1.0567164059152339,1.084123535883538,False,,False,,True,-2.593612611187432
seed1,algorithm_core_s,96.8019193,65.2643064,66.3528645,False,,False,,True,-1.6679225752102689
seed1,algorithm_cores_p95_1s,1.7984931867682283,1.2353716472007725,1.2807766869435735,False,,False,,True,-3.67541539792371
seed1,algorithm_peak_pss_mib,3406.315625,3152.38046875,3163.6248046875,False,,False,,True,-0.35669349080691376
seed1,end_to_end_cores_mean,1.5942768237782163,1.3082975508598063,1.3704672245869578,True,17.937868044815367,True,14.03831479283884,True,-4.751952159987914
seed1,end_to_end_core_s,100.4934457,80.8007694,83.8861734,True,19.59598077549052,True,16.52572681165414,True,-3.818532945801394
seed1,end_to_end_cores_p95_1s,1.8608919754421742,1.4973160337403437,1.5743471679899228,True,19.537724193551842,True,15.39825047524128,True,-5.144614264041027
seed1,end_to_end_peak_pss_mib,3453.20166015625,3347.37529296875,3374.98603515625,True,3.064586942852094,True,2.2650175894002302,True,-0.8248475229382691
seed1,planner_ingress_mib_s,5.357759151531942,1.3964159533708984,1.2505571702072453,True,73.93656724991787,True,76.6589513481644,True,10.445224634648092
seed1,dds_algorithm_mib_s,,1.3964159533708984,1.2532974779593862,False,,False,,True,10.248985989169583
seed2,mission_time_s,54.398,53.803,53.943,True,1.0937902128754842,True,0.8364278098459601,True,-0.26020853855733056
seed2,map_compute_ms_per_frame,29.67528962354201,8.569415554393355,15.629533135837432,True,71.12272310361863,True,47.33148914766377,True,-82.38738729182653
seed2,algorithm_cores_mean,1.4414321534107615,1.0526292791736878,1.0439444779415912,False,,False,,True,0.8250579196233396
seed2,algorithm_core_s,81.1836332,58.4138137,57.899245199999996,False,,False,,True,0.8809020801872467
seed2,algorithm_cores_p95_1s,1.6282197945916705,1.2126334815220947,1.2208594201490999,False,,False,,True,-0.6783532495474213
seed2,algorithm_peak_pss_mib,3440.174609375,3150.73935546875,3160.6123046875,False,,False,,True,-0.3133534102595124
seed2,end_to_end_cores_mean,1.4886392848449719,1.280626609502302,1.2976193136290175,True,13.973343136939482,True,12.831850748574553,True,-1.3269054383712577
seed2,end_to_end_core_s,83.8488098,71.0777247,72.00858769999999,True,15.231086917586746,True,14.120918505870081,True,-1.3096409654767522
seed2,end_to_end_cores_p95_1s,1.6754886097005623,1.4415740921058375,1.4802912234262877,True,13.960973308945933,True,11.650176858508138,True,-2.6857538251046513
seed2,end_to_end_peak_pss_mib,3487.05546875,3347.12646484375,3368.52158203125,True,4.012812677063895,True,3.399254407651864,True,-0.6392085095147085
seed2,planner_ingress_mib_s,5.337915124092642,1.2556520151317645,1.0757362064115419,True,76.47673321997219,True,79.84725906269632,True,14.328476883091113
seed2,dds_algorithm_mib_s,,1.2556520151317645,1.0784971519655462,False,,False,,True,14.10859545728744
seed3,mission_time_s,55.796,54.371,54.778999999999996,True,2.553946519463756,True,1.8227113054699315,True,-0.7504000294274413
seed3,map_compute_ms_per_frame,31.33060105725033,9.119922377463281,17.097881435943126,True,70.89132646769697,True,45.42753455415614,True,-87.47836580489543
seed3,algorithm_cores_mean,1.4417369719432434,1.057245302228446,1.0497567962214358,False,,False,,True,0.708303549916568
seed3,algorithm_core_s,83.2767514,59.2054647,59.105237,False,,False,,True,0.1692879204780531
seed3,algorithm_cores_p95_1s,1.6399276436199024,1.206111537955489,1.2253714359061394,False,,False,,True,-1.5968587767013962
seed3,algorithm_peak_pss_mib,3536.5142578125,3158.52509765625,3170.2943359375,False,,False,,True,-0.3726181656743195
seed3,end_to_end_cores_mean,1.486121284152632,1.2829952594208478,1.3084263951519632,True,13.66819968853377,True,11.956957409568902,True,-1.9821691112557358
seed3,end_to_end_core_s,85.8426915,71.85649219999999,73.6833111,True,16.292824765402433,True,14.164724087198506,True,-2.5423157241176972
seed3,end_to_end_cores_p95_1s,1.6844649715366733,1.4314068327539093,1.4774981601985142,True,15.023057354045697,True,12.28679817243995,True,-3.220001916291606
seed3,end_to_end_peak_pss_mib,3582.72392578125,3370.5734375,3408.61650390625,True,5.92148579338242,True,4.859638238439879,True,-1.1286823180588135
seed3,planner_ingress_mib_s,7.682058379500029,1.9205652722441235,1.5666843847092529,True,74.99934031523047,True,79.60592972203868,True,18.42587141656328
seed3,dds_algorithm_mib_s,,1.9205652722441235,1.5694455899870434,False,,False,,True,18.282100969513376
seed4,mission_time_s,60.546,60.899,58.521,True,-0.5830277805305083,True,3.3445644633832106,True,3.90482602341582
seed4,map_compute_ms_per_frame,30.752994685233126,8.981453134278924,20.518127805873686,True,70.79486656110402,True,33.28087877007304,True,-128.44997907480575
seed4,algorithm_cores_mean,1.4305833824330059,1.0157129752910667,1.0558986045191383,False,,False,,True,-3.956396167584234
seed4,algorithm_core_s,89.0769265,63.2112258,63.4113639,False,,False,,True,-0.3166179700947939
seed4,algorithm_cores_p95_1s,1.6240303961801594,1.204145770721812,1.2425624458686741,False,,False,,True,-3.1903674854775885
seed4,algorithm_peak_pss_mib,3525.8794921875,3169.08408203125,3178.9185546875,False,,False,,True,-0.31032539376318835
seed4,end_to_end_cores_mean,1.4754023741710784,1.252905145713834,1.320226122750649,True,15.080443975986515,True,10.51755467776115,True,-5.373190242463199
seed4,end_to_end_core_s,91.8671949,78.0008438,79.2937579,True,15.093909327583052,True,13.686536324186816,True,-1.657564248042153
seed4,end_to_end_cores_p95_1s,1.670315412417858,1.438419720165212,1.5085599060687913,True,13.883347452141773,True,9.684129425287304,True,-4.8761974631106435
seed4,end_to_end_peak_pss_mib,3572.432421875,3380.733203125,3421.77177734375,True,5.366069840150712,True,4.217312652542085,True,-1.2138956774470036
