map,run,mode,campaign_sequence_index,mode_order_position,experiment_profile,filter_profile,filter_backend,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,position_command_messages,trajectory_flag2_messages,trajectory_flag3_messages,guard_stop_detected,guard_stop_time_s,full_refresh_ack_timeouts,full_refresh_recovery_gate_arms,full_refresh_recovery_targets,full_refresh_recovery_acks,full_refresh_ack_timeout_recoveries,guard_same_map_replan_skips,guard_topology_reroute_arms,guard_topology_reroute_searches,guard_base_no_path_local_escape_arms,guard_base_no_path_test_injections,guard_base_no_path_forced_failures,guard_local_escape_test_injections,guard_local_escape_direction_skips,guard_local_escape_direction_rejections,guard_local_escape_commits,guard_local_escape_rejections,guard_initial_footprint_egress_commits,guard_initial_footprint_test_injections,guard_brake_successes,guard_brake_rejections,guard_brake_stationary_defers,trajectory_velocity_slowdowns,trajectory_velocity_rejections,guard_brake_main_pre_successes,guard_brake_retry_successes,guard_brake_ack_timeout_successes,guard_main_pre_map_stale,guard_recoveries,guard_recovery_active_duration_s,guard_recovery_active_duration_mean_s,guard_recovery_active_duration_max_s,shadow_safe_candidates,shadow_unsafe_candidates,shadow_skipped_candidates,shadow_validated_candidates,shadow_geometric_unsafe,shadow_map_race,shadow_other_indeterminate,shadow_unsafe_exp,shadow_unsafe_appended_backup,shadow_unsafe_carry_backup,shadow_unsafe_stitch,shadow_validation_ms_mean,shadow_validation_ms_max,shadow_contact_events_with_epoch,shadow_contacts_with_prior_unsafe,shadow_contacts_without_prior_unsafe,shadow_geometric_unsafe_followed_by_contact,shadow_geometric_unsafe_not_followed_by_contact,shadow_nearest_prediction_error_s,shadow_correlated_segments,first_position_command_s,first_trajectory_flag2_s,first_trajectory_flag3_s,max_position_command_gap_s,first_motion_s,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_enabled,static_pcd_point_count,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_min_context,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,safety_contact_source,safety_collisions,live_only_contact_event_count,static_confirmed_live_contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,first_contact_static_distance_m,first_contact_static_clearance_m,first_contact_static_confirmed,first_contact_live_point_static_distance_m,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,max_odom_speed_3d_mps,max_command_speed_mps,max_command_horizontal_speed_mps,speed_limit_mps,speed_tolerance_mps,speed_limit_valid,speed_exceedance_count,command_speed_exceedance_count,odom_speed_exceedance_count,first_speed_exceedance_kind,first_speed_exceedance_time_s,first_speed_exceedance_mps,first_speed_exceedance_trajectory_id,first_speed_exceedance_trajectory_flag,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_reliable_output,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_slowdown_full_refresh_v,filter_slowdown_full_refresh_rearm_v,filter_slowdown_full_refresh_armed,filter_slowdown_full_refresh_pending,filter_slowdown_full_refresh_triggers,filter_slowdown_full_refresh_frames,filter_slowdown_full_refresh_pending_ack,filter_slowdown_full_refresh_ack_count,filter_slowdown_full_refresh_ack_committed_count,filter_slowdown_full_refresh_superseded_count,filter_slowdown_full_refresh_ack_latency_mean_s,filter_slowdown_full_refresh_ack_latency_max_s,filter_frames,filter_cloud_input_callbacks,filter_cloud_worker_overwrites,filter_published_frames,filter_rate_limited_frames,filter_max_publish_hz,filter_map_commit_topic,filter_map_commit_refresh_age_s,filter_map_commit_refresh_min_interval_s,filter_map_commit_pre_stale_full_age_s,filter_map_commit_pre_stale_ack_retry_age_s,filter_full_refresh_generation_ack_en,filter_map_process_ack_topic,filter_full_refresh_request_topic,filter_map_commit_status_count,filter_map_commit_version,filter_commit_refresh_frames,filter_pre_stale_full_refresh_frames,filter_pre_stale_full_refresh_ack_count,filter_pre_stale_full_refresh_pending_ack,filter_pre_stale_full_refresh_pending_ack_count,filter_pre_stale_full_refresh_pending_ack_max,filter_pre_stale_full_refresh_ack_committed_count,filter_pre_stale_full_refresh_superseded_count,filter_pre_stale_full_refresh_ack_retry_frames,filter_pre_stale_full_refresh_ack_retry_suppressed_frames,filter_pre_stale_full_refresh_version_advance_count,filter_pre_stale_full_refresh_pending_version_advance,filter_full_refresh_request_count,filter_full_refresh_request_sequence,filter_full_refresh_duplicate_stamp_count,filter_map_process_ack_status_count,filter_map_process_ack_malformed_count,filter_last_map_process_ack_scan_seq,filter_last_map_process_ack_stamp_ns,filter_last_map_process_ack_version,filter_pre_stale_full_refresh_same_version_suppressed_frames,filter_pre_stale_full_refresh_trigger_age_mean_s,filter_pre_stale_full_refresh_trigger_age_max_s,filter_pre_stale_full_refresh_ack_latency_mean_s,filter_pre_stale_full_refresh_ack_latency_max_s,filter_map_commit_age_mean_s,filter_map_commit_age_max_s,filter_full_open_extra_max_points,filter_full_open_extra_candidates,filter_full_open_extra_kept,filter_publish_duty_pct,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_recovery_active,filter_open_burst_s,filter_open_cooldown_s,filter_near_field_radius_m,filter_near_field_speed_gain_s,filter_near_field_max_radius_m,filter_max_effective_near_field_radius_m,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,filter_replan_guard_en,filter_replan_guard_bounded,filter_replan_guard_active,filter_replan_guard_burst_s,filter_replan_guard_cooldown_s,filter_replan_fail_streak_open,filter_replan_ok_streak_close,filter_replan_guard_open,filter_replan_guard_open_transitions,filter_replan_guard_close_transitions,filter_effective_full_open_transitions,filter_effective_full_close_transitions,filter_replan_guard_open_duty_pct,filter_replan_status_count,filter_replan_fail_count,filter_max_replan_fail_streak,filter_first_replan_guard_open_time_s,filter_first_effective_full_open_time_s,filter_trajectory_guard_topic,filter_trajectory_guard_hold_s,filter_trajectory_guard_active_max_publish_hz,filter_trajectory_guard_ack_retry_age_s,filter_trajectory_guard_active,filter_trajectory_guard_open,filter_trajectory_guard_status_count,filter_trajectory_guard_active_count,filter_trajectory_guard_open_transitions,filter_trajectory_guard_close_transitions,filter_trajectory_guard_refresh_frames,filter_trajectory_guard_full_refresh_pending_ack,filter_trajectory_guard_full_refresh_pending_ack_max,filter_trajectory_guard_full_refresh_ack_count,filter_trajectory_guard_full_refresh_ack_committed_count,filter_trajectory_guard_full_refresh_superseded_count,filter_trajectory_guard_full_refresh_ack_retry_frames,filter_trajectory_guard_full_refresh_abandoned_count,filter_trajectory_guard_full_refresh_ack_latency_mean_s,filter_trajectory_guard_full_refresh_ack_latency_max_s,filter_test_drop_first_trajectory_guard_full_cloud,filter_test_dropped_trajectory_guard_full_clouds,filter_trajectory_guard_open_duty_pct,filter_trajectory_guard_active_frames,filter_trajectory_guard_hold_only_frames,filter_trajectory_guard_active_published_frames,filter_trajectory_guard_hold_only_published_frames,filter_trajectory_guard_active_duty_pct,filter_trajectory_guard_hold_only_duty_pct,filter_first_trajectory_guard_open_time_s,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,map_perf_frames,map_frames_s,map_points_s,map_payload_bytes_mean,map_payload_bytes_total,map_payload_mib_s,map_payload_mbps,map_point_step_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,cgroup_cpu_accounting,cgroup_cpu_duration_s,cgroup_memory_source,cgroup_accounting_error,algorithm_cpu_core_s,algorithm_cpu_cores_mean,algorithm_cpu_cores_p95_1s,algorithm_cpu_cores_max_1s,algorithm_peak_rss_mib,algorithm_peak_pss_mib,algorithm_peak_swap_mib,algorithm_max_processes,end_to_end_cpu_core_s,end_to_end_cpu_cores_mean,end_to_end_cpu_cores_p95_1s,end_to_end_cpu_cores_max_1s,end_to_end_peak_rss_mib,end_to_end_peak_pss_mib,end_to_end_peak_swap_mib,end_to_end_max_processes,cgroup_cpu_trace_csv,attempt_count,retry_count,first_attempt_success,retry_reasons,oom_kill_delta,fsm_peak_rss_mib,fsm_peak_pss_mib,fsm_peak_swap_mib,system_min_available_mib,system_peak_swap_used_mib,cgroup_peak_memory_mib,cgroup_peak_swap_mib,memory_psi_some_avg10_max,memory_psi_full_avg10_max,memory_trace_csv,perf_log_generation_ready,perf_window_valid,perf_trace_csv,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed7,1,full,1,1,,strict-burst,direct,True,True,,,,,,,,,,,,,0,0,0,0,0,0,14,22,0,0,0,0,0,0,0,0,0,0,37,58,0,1,0,24,11,0,32,37,47.20924401283264,1.2759255138603416,4.04150128364563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.06,5,5,0,0.414,True,838860,0,0.468,0.268,"{'elapsed_s': 57.815748, 'position': [-23.27342414855957, -16.442806243896484, 2.4128060340881348], 'velocity': [2.019800901412964, -2.1582069396972656, -0.20072400569915771], 'speed_mps': 2.962725, 'nearest_point': [-22.94499969482422, -16.110300064086914, 2.4000000953674316], 'distance_m': 0.467533, 'clearance_m': 0.267533, 'waypoint_index': 2}",,,,,,,0,static_pcd,0,0,0,,,,,,,,,,,,,,,results/passage_center_exp_w2e4_seed7_three_mode_20260831_forensics/seed7_run1_full.json,9905,9092,0.733,-1.078,1.148,-25.66,24.04,-28.004,30.021,246.839,7.0,7.00173,7.00173,6.999673,7.0,0.01,True,0,0,0,,,,,,1.304,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35827.458333333336,504,5.087825560266505,182283.85826771654,1146478.761904762,577825296.0,5.562862347718949,46.66467159297395,32.0,30.702614880952382,20.41038021825397,10.29041376984127,1.7845975396825398,,75.39833521664421,,22.463665741259426,False,,,,,,,,,,,,,,,,,,,,,1,0,True,,0,3224.56640625,3201.607421875,0.0,7394.140625,0.0,6425.3984375,0.0,0.0,0.0,results/passage_center_exp_w2e4_seed7_three_mode_20260831_forensics/seed7_run1_full.attempt1.memory.csv,True,True,results/passage_center_exp_w2e4_seed7_three_mode_20260831_forensics/seed7_run1_full.attempt1.performance.csv,2,506,,
seed7,1,sector,2,2,,strict-burst,cpp,True,True,,,,,,,,,,,,,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,37,74,0,0,0,18,16,0,28,37,34.51139259338379,0.932740340361724,4.119349718093872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.31,5,5,0,0.242,True,838860,1,0.106,-0.094,"{'elapsed_s': 65.853312, 'position': [21.57794761657715, -21.336328506469727, 1.1692570447921753], 'velocity': [-3.6823620796203613, 5.562338829040527, -2.122159957885742], 'speed_mps': 7.000212, 'nearest_point': [21.48870086669922, -21.384199142456055, 1.2000000476837158], 'distance_m': 0.105838, 'clearance_m': -0.094162, 'waypoint_index': 4}",,,,,,,1,static_pcd,1,0,0,static_pcd,65.805,0.19722,21.764400482177734,-21.61467933654785,1.26937997341156,6.98825,21.569599151611328,-21.618099212646484,1.2999999523162842,0.19722,-0.00278,True,,results/passage_center_exp_w2e4_seed7_three_mode_20260831_forensics/seed7_run1_sector.json,8131,7236,0.172,-1.453,1.832,-26.188,24.025,-24.635,27.154,233.148,7.001,7.000957,7.000957,7.000954,7.0,0.01,True,0,0,0,,,,,,0.936,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,True,0.6,1.2,1.5,2,0.2,0,0,False,False,0,0,False,0,0,0,0,0,400,400,0,400,0,0,/rog_map/commit_version,0.12,0.1,0,0,False,/rog_map/cloud_process_ack,/sector/full_refresh_request,0,0,0,0,0,False,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,100,15020268,8146572,54.237,False,0,False,0,0,False,0,0,1.5,0,1.5,1.5,0,0,0,,,,,,,,,0,0,,False,False,False,0,0,5,15,False,0,0,0,0,0,0,0,0,,,/planning/trajectory_guard_recovery_active,2.5,0,0,False,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,20475.790931989923,397,4.882548272045259,99974.03763374739,409515.8186397985,162577780.0,1.906853439974735,15.995846021399581,20.0,12.800097279596978,8.530630604534005,4.267951110831235,1.1662598413098237,54.237,70.46674823074233,2.90134074635942,24.8245507470251,False,,,,,,,,,,,,,,,,,,,,,1,0,True,,0,3208.25,3184.123046875,0.0,7361.2578125,0.0,6493.85546875,0.0,0.0,0.0,results/passage_center_exp_w2e4_seed7_three_mode_20260831_forensics/seed7_run1_sector.attempt1.memory.csv,True,True,results/passage_center_exp_w2e4_seed7_three_mode_20260831_forensics/seed7_run1_sector.attempt1.performance.csv,0,397,,
seed7,1,adaptive,3,3,,strict-burst,cpp,True,True,,,,,,,,,,,,,0,53,53,53,0,0,13,18,0,0,0,0,0,0,0,0,0,0,53,99,0,1,0,27,23,0,43,52,51.907511949539185,0.9982213836449844,2.501049041748047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.72,5,5,0,0.398,True,838860,0,0.464,0.264,"{'elapsed_s': 2.707512, 'position': [6.894557952880859, 7.025024890899658, 1.5169600248336792], 'velocity': [1.9421930313110352, 3.17295503616333, 0.3435550034046173], 'speed_mps': 3.736012, 'nearest_point': [6.5329999923706055, 7.314700126647949, 1.5], 'distance_m': 0.463598, 'clearance_m': 0.263598, 'waypoint_index': 0}",,,,,,,0,static_pcd,0,0,0,,,,,,,,,,,,,,,results/passage_center_exp_w2e4_seed7_three_mode_20260831_forensics/seed7_run1_adaptive.json,10371,9508,0.899,-1.165,1.468,-25.743,26.022,-26.711,25.785,242.689,6.999,7.00191,7.00191,6.99851,7.0,0.01,True,0,0,0,,,,,,0.0,1788168652.339304,2.776,3.116,1788168653.086143,4.585,5.119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,True,0.6,1.2,1.5,2,1.5,1.5,3,False,True,62,59,False,59,59,0,0.042889,0.078945,476,476,0,381,95,5,/rog_map/commit_version,0.12,0.1,0.25,0,True,/rog_map/cloud_process_ack,/sector/full_refresh_request,376,376,20,71,71,False,0,1,71,0,0,0,71,False,183,183,0,376,0,376,1788168755186495088,376,0,0.380336,1.472751,0.044262,0.1114,0.204953,1.472751,6000,2148522,973915,80.042,16250993,11375912,70.001,False,0,True,94.118,96.005,False,0.6,1.4,1.5,0.2,3,2.898349,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,25,25,4,3,14.286,440,247,8,1788168652.32,1788168652.32,/planning/trajectory_guard_recovery_active,2.5,0,0,True,True,106,53,3,2,53,False,1,53,53,0,0,0,0.04778,0.069509,False,0,93.487,264,181,220,137,55.462,38.025,1788168653.86,,,,,,,,,,,,,,,,,,,,,,,30241.346666666668,375,3.6155032780563054,109337.68800617046,810516.2453333334,303943592.0,2.7946702403264574,23.443393135364442,25.856,31.050570346666667,19.602839333333332,11.445885546666666,2.3478771013333333,70.001,66.70659362250179,3.0174635579976674,23.706196194956977,False,,,,,,,,,,,,,,,,,,,,,1,0,True,,0,3219.9765625,3195.7890625,0.0,7335.41796875,0.0,6535.66015625,0.0,0.0,0.0,results/passage_center_exp_w2e4_seed7_three_mode_20260831_forensics/seed7_run1_adaptive.attempt1.memory.csv,True,True,results/passage_center_exp_w2e4_seed7_three_mode_20260831_forensics/seed7_run1_adaptive.attempt1.performance.csv,1,376,,
