map,metric,full,sector,adaptive,sector_vs_full_reduction_pct,adaptive_vs_full_reduction_pct,adaptive_vs_sector_reduction_pct
seed7,mission_time_s,73.99666666666667,76.02333333333334,70.09666666666666,-2.7388621109059024,5.2705076805261575,7.795852150655513
seed7,side_entry_clearance_m,0.5463333333333333,0.6223333333333334,0.5513333333333333,-13.910921293471642,-0.9151921903599765,11.408677021960374
seed7,planner_ingress_mib_s,11.456322080419055,3.6614848783201377,3.142047997965594,68.03961295241268,72.5736761247667,14.186508960617571
seed7,map_compute_ms_per_frame,44.19358064760855,11.853006717344234,25.28407179791454,73.17934744446728,42.78790849846484,-113.3135701418015
seed7,algorithm_cores_mean,1.5770812838122568,1.0365931796655365,1.0801039054433812,34.27141705976028,31.512477097409906,-4.197473669649617
seed7,end_to_end_cores_mean,1.625928305832412,1.2942116149161522,1.3909684102723052,20.40168005725405,14.450815249188773,-7.476118606957608
seed9,mission_time_s,92.55333333333333,78.72,77.01333333333334,14.94633724699272,16.790319095296397,2.168021680216798
seed9,side_entry_clearance_m,0.46,0.4063333333333333,0.425,11.666666666666673,7.608695652173919,-4.593929450369155
seed9,planner_ingress_mib_s,12.996491442585656,4.53958627076705,3.6915437191130955,65.07067856873918,71.59584388278056,18.681053758466433
seed9,map_compute_ms_per_frame,41.91121427006958,11.621259136064232,27.927533711522802,72.27171930362461,33.365009346753915,-140.31418097248462
seed9,algorithm_cores_mean,1.5141822084815542,1.0460194906693265,1.0784517509367075,30.918519263392255,28.776619821851163,-3.1005407219160186
seed9,end_to_end_cores_mean,1.563216732407812,1.301986017627686,1.3954266469018257,16.71110021818625,10.733641857040531,-7.17677670950686
seed10,mission_time_s,74.05,76.55333333333333,79.89999999999999,-3.3805986945757334,-7.900067521944624,-4.371679874597228
seed10,side_entry_clearance_m,0.45266666666666666,0.35033333333333333,0.4053333333333333,22.606774668630337,10.45655375552283,-15.699333967649855
seed10,planner_ingress_mib_s,13.053861803556886,4.227344404182716,3.652736786831867,67.61613943981804,72.01796034153986,13.592637893006955
seed10,map_compute_ms_per_frame,44.707761906464924,12.164558460594723,26.545445469181008,72.79094738393586,40.624526173513445,-118.2195560584548
seed10,algorithm_cores_mean,1.619997763111795,1.0419952991961452,1.0493891549986984,35.67921370492425,35.222802222704004,-0.7095862916327256
seed10,end_to_end_cores_mean,1.6704523200427839,1.3003125228525882,1.3605158471974057,22.1580581947239,18.554044861181076,-4.629911908619102
ALL,mission_time_s,80.2,77.0988888888889,75.67,3.866722083679687,5.648379052369078,1.8533196904408518
ALL,side_entry_clearance_m,0.48633333333333334,0.45966666666666667,0.46055555555555555,5.483207676490748,5.300434087274391,-0.19337684312303485
ALL,planner_ingress_mib_s,12.502225108853866,4.142805184423301,3.4954428346368522,66.86345711780989,72.041434191091,15.626183732232741
ALL,map_compute_ms_per_frame,43.604185608047686,11.87960810466773,26.58568365953945,72.75580786796026,39.02951450919259,-123.79259841992106
ALL,algorithm_cores_mean,1.5704204184685353,1.0415359898436694,1.0693149371262625,33.67788793402412,31.9090019111537,-2.6671135278544362
ALL,end_to_end_cores_mean,1.619865786094336,1.2988367184654754,1.3823036347905122,19.81825101713487,14.665545339815507,-6.426282467872456
