seed,run,mode,world,success,mission_time_s,frames,active_frames,pts_mean,total_ms_mean,total_ms_active_mean,raycast_ms_mean,raycast_ms_active_mean,update_ms_mean,inflation_ms_mean,cache_mean,fsm_cpu_pct,cpp_cpu_pct,collisions,min_clearance_m,corners_reached,timeouts,perf_row_start,perf_row_end,mission_rc,samples
1,1,full,default_seed1,True,118.25,958,958,9311.409185803757,5.938852150313152,5.938852150313152,1.8357993643006263,1.8357993643006263,4.100534563674322,1.8461303215031315,7168.544885177453,83.98979346401703,7.469529845750835,0,0.594,4,0,181,1139,0,13540
1,1,sector,default_seed1,True,111.0,883,883,3220.780294450736,2.7324193793884484,2.7324193793884484,0.6373925673839185,0.6373925673839185,2.0924919479048696,1.0737297553793885,2432.453001132503,79.36541714120584,6.74943603458848,0,0.336,4,0,192,1075,0,12789
1,1,adaptive,default_seed1,True,126.95,1096,1096,3150.961678832117,2.85448976459854,2.85448976459854,0.6477593284671532,0.6477593284671532,2.204450550182482,1.1877199653284671,2433.7618613138684,77.92833675557489,6.895834801796697,1,0.232,4,0,192,1288,0,14395
1,2,full,default_seed1,True,113.8,921,921,9276.079261672096,6.245420162866449,6.245420162866449,1.7753181042345276,1.7753181042345276,4.467407100977199,2.1132694201954396,7177.599348534202,80.85676374872385,7.488817170264999,0,0.634,4,0,207,1128,0,13103
1,2,sector,default_seed1,True,119.65,1008,1008,3157.9950396825398,2.734625808531746,2.734625808531746,0.6309665029761905,0.6309665029761905,2.101499111111111,1.1117030654761906,2401.652777777778,81.28292798429473,6.8550502061050915,0,0.49,4,0,191,1199,0,13659
1,2,adaptive,default_seed1,True,166.7,1385,1385,3151.242599277978,2.6605188743682313,2.6605188743682313,0.6784832548736461,0.6784832548736461,1.9797261776173287,0.9902542194945849,2469.9314079422384,92.39534827725055,6.869561519535153,0,0.59,3,1,179,1564,0,18304
1,3,full,default_seed1,True,238.5,1938,1938,6873.349845201238,7.671080980392157,7.671080980392157,1.931060205366357,1.931060205366357,5.737153684210526,2.9691490737874098,6799.826625386997,106.8896188031649,7.24257133390918,2,0.226,4,3,180,2118,0,25439
1,3,sector,default_seed1,True,113.75,911,911,3163.053787047201,3.0595240702524698,3.0595240702524698,0.6303682546652031,0.6303682546652031,2.4270118529088913,1.356559973655324,2438.4599341383096,78.60691570542313,6.835723740319628,1,0.11,4,0,202,1113,0,13086
1,3,adaptive,default_seed1,True,180.85,1490,1490,2129.8503355704697,3.1776909362416106,3.1776909362416106,0.5867905208053691,0.5867905208053691,2.5887700046979867,1.4502590174496646,2299.1328859060404,84.61164722795935,6.678821900570171,3,0.105,4,2,200,1690,0,19910
1,4,full,default_seed1,False,240.05,1941,1941,5467.531169500257,9.165364884080372,9.165364884080372,1.2990851710458526,1.2990851710458526,7.8638916022668734,4.772455045852653,5692.926326635755,106.42851290080034,7.018637649594849,4,0.078,1,5,183,2124,0,25585
1,4,sector,default_seed1,True,110.15,919,919,3105.523394994559,2.8057041643090317,2.8057041643090317,0.6075360739934712,0.6075360739934712,2.195957809575626,1.1886712361262242,2387.584330794342,80.0620420125948,6.844513442918825,1,0.026,4,0,185,1104,0,12755
1,4,adaptive,default_seed1,True,118.6,953,953,3243.98426023085,2.882601579223505,2.882601579223505,0.6388971395592865,0.6388971395592865,2.2412971752360966,1.2110950388247639,2483.3158447009446,81.3829897243846,6.905433779441667,1,0.252,4,0,185,1138,0,13582
