metric,full,sector,adaptive,adaptive_vs_full_reduction_pct,adaptive_vs_sector_reduction_pct
mission_time_s,67.355600,65.883700,64.471800,4.281,2.143
logical_planner_ingress_mib_s,9.342646,2.831908,2.251322,75.903,20.502
external_dds_mib_s,0.000000,2.831908,2.254047,NA,20.405
map_frames_s,10.088237,10.279477,5.436636,46.109,47.112
rog_ms_per_frame,36.992887,10.423433,22.384039,39.491,-114.747
end_to_end_cpu_cores_mean,1.543302,1.259334,1.337093,13.362,-6.175
end_to_end_cpu_core_s,108.502972,84.858336,90.113563,16.948,-6.193
end_to_end_peak_pss_mib,3475.891699,3425.389629,3467.013584,0.255,-1.215
clearance_mean_m,0.270270,0.261120,0.257700,4.651,1.310
map_compute_core_equivalent,0.371630,0.107167,0.121695,67.254,-13.556
